,"('Biomass', 'Actual Aggregated')","('Fossil Brown coal/Lignite', 'Actual Aggregated')","('Fossil Coal-derived gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Consumption')","('Fossil Hard coal', 'Actual Aggregated')","('Fossil Oil', 'Actual Aggregated')","('Fossil Oil', 'Actual Consumption')","('Geothermal', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Consumption')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Water Reservoir', 'Actual Aggregated')","('Hydro Water Reservoir', 'Actual Consumption')","('Nuclear', 'Actual Aggregated')","('Nuclear', 'Actual Consumption')","('Other', 'Actual Aggregated')","('Other renewable', 'Actual Aggregated')","('Other renewable', 'Actual Consumption')","('Solar', 'Actual Aggregated')","('Solar', 'Actual Consumption')","('Waste', 'Actual Aggregated')","('Wind Offshore', 'Actual Aggregated')","('Wind Onshore', 'Actual Aggregated')","('Wind Onshore', 'Actual Consumption')",Biomass
2015-05-07 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2015-05-07 23:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2015-05-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2015-05-08 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
2015-05-08 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 03:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 09:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2015-05-08 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2015-05-08 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2015-05-08 12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2015-05-08 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2015-05-08 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2015-05-08 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2015-05-08 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-05-08 21:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
2015-05-08 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08 23:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 03:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 09:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
