,"('Biomass', 'Actual Aggregated')","('Biomass', 'Actual Consumption')","('Fossil Gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Consumption')","('Fossil Hard coal', 'Actual Aggregated')","('Fossil Hard coal', 'Actual Consumption')","('Fossil Oil', 'Actual Aggregated')","('Fossil Oil', 'Actual Consumption')","('Solar', 'Actual Aggregated')","('Solar', 'Actual Consumption')","('Waste', 'Actual Aggregated')","('Waste', 'Actual Consumption')","('Wind Offshore', 'Actual Aggregated')","('Wind Offshore', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')","('Wind Onshore', 'Actual Consumption')",Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2018-01-01 00:00:00+00:00,,,,,,,,,,,,,,,,,587.0,236.0,254.0,34.0,0.0,141.0,917.03,1551.51
2018-01-01 01:00:00+00:00,,,,,,,,,,,,,,,,,502.0,256.0,280.0,42.0,0.0,144.0,815.06,1465.03
2018-01-01 02:00:00+00:00,,,,,,,,,,,,,,,,,488.0,259.0,259.0,38.0,0.0,141.0,854.22,1494.61
2018-01-01 03:00:00+00:00,,,,,,,,,,,,,,,,,482.0,251.0,266.0,39.0,0.0,143.0,936.6,1406.38
2018-01-01 04:00:00+00:00,,,,,,,,,,,,,,,,,390.0,204.0,254.0,41.0,0.0,143.0,917.27,1423.11
2018-01-01 05:00:00+00:00,,,,,,,,,,,,,,,,,385.0,211.0,230.0,38.0,0.0,142.0,959.88,1501.38
2018-01-01 06:00:00+00:00,,,,,,,,,,,,,,,,,417.0,222.0,283.0,42.0,0.0,143.0,965.99,1470.82
2018-01-01 07:00:00+00:00,,,,,,,,,,,,,,,,,431.98,226.68,242.48,34.9,0.91,137.96,1019.8,1537.58
2018-01-01 08:00:00+00:00,,,,,,,,,,,,,,,,,469.78,243.48,236.35,33.9,11.2,126.56,1087.62,1637.26
2018-01-01 09:00:00+00:00,,,,,,,,,,,,,,,,,582.28,252.48,272.51,32.4,35.87,134.56,1139.75,2003.35
2018-01-01 10:00:00+00:00,,,,,,,,,,,,,,,,,575.92,280.72,326.25,39.6,54.12,127.84,1121.65,2026.74
2018-01-01 11:00:00+00:00,,,,,,,,,,,,,,,,,570.84,277.44,302.24,39.2,58.55,129.68,1136.89,2106.35
2018-01-01 12:00:00+00:00,,,,,,,,,,,,,,,,,660.8,258.8,251.25,33.0,59.87,127.6,1137.57,2367.24
2018-01-01 13:00:00+00:00,,,,,,,,,,,,,,,,,641.04,256.64,254.38,34.2,48.22,129.08,1129.89,2275.46
2018-01-01 14:00:00+00:00,,,,,,,,,,,,,,,,,615.62,279.92,303.25,39.1,19.19,136.24,1123.73,2110.87
2018-01-01 15:00:00+00:00,,,,,,,,,,,,,,,,,633.98,346.68,486.49,41.9,0.9,142.96,1096.24,1845.83
2018-01-01 16:00:00+00:00,,,,,,,,,,,,,,,,,639.0,361.0,716.0,43.0,0.0,151.0,1099.52,1588.51
2018-01-01 17:00:00+00:00,,,,,,,,,,,,,,,,,705.0,358.0,737.0,38.0,0.0,152.0,1062.02,1485.56
2018-01-01 18:00:00+00:00,,,,,,,,,,,,,,,,,712.0,377.0,603.0,46.0,0.0,153.0,1038.52,1473.49
2018-01-01 19:00:00+00:00,,,,,,,,,,,,,,,,,693.0,336.0,369.0,40.0,0.0,141.0,965.93,1489.09
