,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore,Hydro Pumped Storage Net
2014-11-30 23:00:00+00:00,,,,,,,,,,0.0,,491.0,
2014-12-01 00:00:00+00:00,,,,,,,,,,0.0,,499.75,
2014-12-01 01:00:00+00:00,,,,,,,,,,0.0,,561.5,
2014-12-01 02:00:00+00:00,,,,,,,,,,0.0,,579.5,
2014-12-01 03:00:00+00:00,,,,,,,,,,0.0,,672.0,
2014-12-01 04:00:00+00:00,,,,,,,,,,0.0,,605.75,
2014-12-01 05:00:00+00:00,,,,,,,,,,0.0,,543.0,
2014-12-01 06:00:00+00:00,,,,,,,,,,0.75,,657.5,
2014-12-01 07:00:00+00:00,,,,,,,,,,9.25,,635.75,
2014-12-01 08:00:00+00:00,,,,,,,,,,26.25,,575.0,
2014-12-01 09:00:00+00:00,,,,,,,,,,52.75,,537.0,
2014-12-01 10:00:00+00:00,,,,,,,,,,73.0,,517.0,
2014-12-01 11:00:00+00:00,,,,,,,,,,80.25,,548.5,
2014-12-01 12:00:00+00:00,,,,,,,,,,78.75,,562.75,
2014-12-01 13:00:00+00:00,,,,,,,,,,59.5,,664.25,
2014-12-01 14:00:00+00:00,,,,,,,,,,27.5,,810.75,
2014-12-01 15:00:00+00:00,,,,,,,,,,5.5,,687.0,
2014-12-01 16:00:00+00:00,,,,,,,,,,0.0,,707.5,
2014-12-01 17:00:00+00:00,,,,,,,,,,0.0,,722.75,
2014-12-01 18:00:00+00:00,,,,,,,,,,0.0,,740.25,
2014-12-01 19:00:00+00:00,,,,,,,,,,0.0,,684.5,
2014-12-01 20:00:00+00:00,,,,,,,,,,0.0,,576.25,
2014-12-01 21:00:00+00:00,,,,,,,,,,0.0,,457.25,
2014-12-01 22:00:00+00:00,,,,,,,,,,0.0,,407.5,
2014-12-01 23:00:00+00:00,,,,,,,,,,0.0,,353.5,
2014-12-02 00:00:00+00:00,,,,,,,,,,0.0,,395.0,
2014-12-02 01:00:00+00:00,,,,,,,,,,0.0,,391.0,
2014-12-02 02:00:00+00:00,,,,,,,,,,0.0,,316.0,
2014-12-02 03:00:00+00:00,,,,,,,,,,0.0,,314.5,
2014-12-02 04:00:00+00:00,,,,,,,,,,0.0,,301.75,
2014-12-02 05:00:00+00:00,,,,,,,,,,0.0,,232.5,
2014-12-02 06:00:00+00:00,,,,,,,,,,0.75,,239.75,
2014-12-02 07:00:00+00:00,,,,,,,,,,13.5,,176.75,
2014-12-02 08:00:00+00:00,,,,,,,,,,41.0,,141.25,
2014-12-02 09:00:00+00:00,,,,,,,,,,72.5,,134.25,
2014-12-02 10:00:00+00:00,,,,,,,,,,94.0,,157.25,
2014-12-02 11:00:00+00:00,,,,,,,,,,98.5,,153.75,
2014-12-02 12:00:00+00:00,,,,,,,,,,83.25,,134.5,
2014-12-02 13:00:00+00:00,,,,,,,,,,59.5,,106.25,
2014-12-02 14:00:00+00:00,,,,,,,,,,28.0,,120.25,
2014-12-02 15:00:00+00:00,,,,,,,,,,5.75,,148.75,
2014-12-02 16:00:00+00:00,,,,,,,,,,0.0,,176.5,
2014-12-02 17:00:00+00:00,,,,,,,,,,0.0,,238.75,
2014-12-02 18:00:00+00:00,,,,,,,,,,0.0,,247.75,
2014-12-02 19:00:00+00:00,,,,,,,,,,0.0,,262.75,
2014-12-02 20:00:00+00:00,,,,,,,,,,0.0,,311.25,
2014-12-02 21:00:00+00:00,,,,,,,,,,0.0,,296.5,
2014-12-02 22:00:00+00:00,,,,,,,,,,0.0,,267.25,
2014-12-02 23:00:00+00:00,,,,,,,,,,0.0,,286.5,
2014-12-03 00:00:00+00:00,,,,,,,,,,0.0,,281.75,
2014-12-03 01:00:00+00:00,,,,,,,,,,0.0,,294.0,
2014-12-03 02:00:00+00:00,,,,,,,,,,0.0,,363.25,
2014-12-03 03:00:00+00:00,,,,,,,,,,0.0,,433.0,
2014-12-03 04:00:00+00:00,,,,,,,,,,0.0,,474.5,
2014-12-03 05:00:00+00:00,,,,,,,,,,0.0,,471.25,
2014-12-03 06:00:00+00:00,,,,,,,,,,1.0,,485.75,
2014-12-03 07:00:00+00:00,,,,,,,,,,13.5,,465.0,
2014-12-03 08:00:00+00:00,,,,,,,,,,39.75,,425.75,
2014-12-03 09:00:00+00:00,,,,,,,,,,69.0,,342.75,
2014-12-03 10:00:00+00:00,,,,,,,,,,89.0,,292.25,
2014-12-03 11:00:00+00:00,,,,,,,,,,92.25,,283.5,
2014-12-03 12:00:00+00:00,,,,,,,,,,80.0,,285.75,
2014-12-03 13:00:00+00:00,,,,,,,,,,56.75,,303.75,
2014-12-03 14:00:00+00:00,,,,,,,,,,25.0,,308.0,
2014-12-03 15:00:00+00:00,,,,,,,,,,4.5,,349.5,
2014-12-03 16:00:00+00:00,,,,,,,,,,0.0,,383.5,
2014-12-03 17:00:00+00:00,,,,,,,,,,0.0,,312.25,
2014-12-03 18:00:00+00:00,,,,,,,,,,0.0,,258.75,
2014-12-03 19:00:00+00:00,,,,,,,,,,0.0,,299.75,
2014-12-03 20:00:00+00:00,,,,,,,,,,0.0,,371.0,
2014-12-03 21:00:00+00:00,,,,,,,,,,0.0,,467.25,
2014-12-03 22:00:00+00:00,304.0,1285.25,489.0,0.0,0.0,2276.5,535.5,0.0,0.0,0.0,0.0,500.0,-540.75
2014-12-03 23:00:00+00:00,316.0,1163.75,474.0,0.0,0.0,2262.0,522.25,0.0,0.0,0.0,0.0,444.5,-735.25
2014-12-04 00:00:00+00:00,316.0,1151.5,468.25,0.0,0.0,2266.5,432.5,0.0,0.0,0.0,0.0,439.75,-662.75
2014-12-04 01:00:00+00:00,316.0,1145.25,438.0,0.0,0.0,2269.75,233.75,0.0,0.0,0.0,0.0,416.0,-776.5
2014-12-04 02:00:00+00:00,316.0,1143.25,439.25,0.0,0.0,2252.5,218.75,0.0,0.0,0.0,0.0,374.25,-771.0
2014-12-04 03:00:00+00:00,312.0,1141.75,440.5,0.0,0.0,2244.5,300.75,0.0,0.0,0.0,0.0,401.0,-768.0
2014-12-04 04:00:00+00:00,312.0,1276.75,469.75,0.0,0.0,2249.25,346.0,0.0,0.0,0.0,0.0,469.0,-382.25
2014-12-04 05:00:00+00:00,312.0,1914.0,551.75,0.0,0.0,2331.25,591.5,10.25,0.0,0.0,0.0,432.25,584.5
2014-12-04 06:00:00+00:00,312.0,2365.75,574.75,0.0,0.0,2365.75,1329.25,315.5,0.0,1.5,0.0,400.75,1230.0
2014-12-04 07:00:00+00:00,312.0,2432.0,574.5,0.0,0.0,2436.5,1352.5,375.0,0.0,17.75,0.0,389.25,1166.0
2014-12-04 08:00:00+00:00,312.0,2467.5,574.0,0.0,0.0,2441.5,1500.75,289.75,0.0,52.0,0.0,322.75,1176.75
2014-12-04 09:00:00+00:00,312.0,2466.25,568.25,0.0,0.0,2462.0,1466.5,535.0,0.0,87.75,0.0,288.0,1182.5
2014-12-04 10:00:00+00:00,312.0,2461.25,560.0,0.0,0.0,2451.75,1377.0,1479.0,0.0,113.5,0.0,310.75,1231.25
2014-12-04 11:00:00+00:00,310.0,2468.5,560.5,0.0,0.0,2389.75,1296.0,2481.75,0.0,120.25,0.0,332.5,1189.25
2014-12-04 12:00:00+00:00,312.0,2475.75,562.0,0.0,0.0,2365.75,1226.5,2425.75,0.0,105.75,0.0,335.5,1123.5
2014-12-04 13:00:00+00:00,312.0,2533.75,562.5,0.0,0.0,2374.0,966.0,2655.75,0.0,74.5,0.0,370.75,1040.75
2014-12-04 14:00:00+00:00,312.0,2445.75,565.5,0.0,0.0,2381.5,904.25,2547.0,0.0,33.75,0.0,398.25,1039.5
2014-12-04 15:00:00+00:00,312.0,2478.75,566.25,0.0,0.0,2473.5,937.75,2651.75,0.0,6.5,0.0,419.5,1114.25
2014-12-04 16:00:00+00:00,313.0,2503.5,568.0,0.0,0.0,2500.25,1162.5,2838.0,0.0,0.0,0.0,466.75,1232.5
2014-12-04 17:00:00+00:00,316.0,2493.0,568.5,0.0,0.0,2501.75,978.75,2793.75,0.0,0.0,0.0,496.5,1143.0
2014-12-04 18:00:00+00:00,316.0,2463.75,568.25,0.0,0.0,2497.0,879.0,2720.5,0.0,0.0,0.0,546.25,1084.5
2014-12-04 19:00:00+00:00,316.0,2217.5,566.5,0.0,0.0,2495.75,880.5,1819.0,0.0,0.0,0.0,597.75,774.75
2014-12-04 20:00:00+00:00,316.0,1900.25,548.25,0.0,0.0,2379.75,562.75,1029.0,0.0,0.0,0.0,625.25,333.75
2014-12-04 21:00:00+00:00,316.0,1684.5,543.5,0.0,0.0,2302.5,524.0,1130.0,0.0,0.0,0.0,605.5,326.0
2014-12-04 22:00:00+00:00,316.0,1264.25,483.75,0.0,0.0,2258.5,227.75,661.75,0.0,0.0,0.0,499.25,-347.5
2014-12-04 23:00:00+00:00,316.0,1168.5,468.0,0.0,0.0,2152.0,199.25,666.0,0.0,0.0,0.0,489.5,-343.25
2014-12-05 00:00:00+00:00,316.0,1164.75,468.25,0.0,0.0,2140.25,164.5,589.0,0.0,0.0,0.0,532.0,-539.25
2014-12-05 01:00:00+00:00,316.0,1173.5,460.25,0.0,0.0,2131.5,154.75,395.75,0.0,0.0,0.0,564.75,-861.75
2014-12-05 02:00:00+00:00,316.0,1168.75,459.75,0.0,0.0,2126.25,164.0,278.5,0.0,0.0,0.0,571.25,-895.5
2014-12-05 03:00:00+00:00,316.0,1160.25,461.5,0.0,0.0,2126.5,176.5,201.75,0.0,0.0,0.0,584.75,-693.5
2014-12-05 04:00:00+00:00,316.0,1275.25,485.25,0.0,0.0,2138.75,207.0,424.25,0.0,0.0,0.0,571.75,-277.5
2014-12-05 05:00:00+00:00,316.0,1980.25,550.0,0.0,0.0,2303.75,451.5,1269.0,0.0,0.0,0.0,549.0,486.75
2014-12-05 06:00:00+00:00,316.0,2392.5,567.25,0.0,0.0,2408.0,1113.25,2261.0,0.0,0.75,0.0,484.25,1027.75
2014-12-05 07:00:00+00:00,316.0,2397.0,568.0,0.0,0.0,2475.75,1122.0,2636.25,0.0,10.5,0.0,416.75,1136.25
2014-12-05 08:00:00+00:00,313.0,2447.75,568.0,0.0,0.0,0.0,1110.5,1466.0,0.0,30.75,0.0,350.0,1141.25
2014-12-05 09:00:00+00:00,312.0,2462.0,568.0,0.0,0.0,2561.0,1155.0,1285.75,0.0,53.5,0.0,292.25,1075.5
2014-12-05 10:00:00+00:00,312.0,2469.75,568.0,0.0,0.0,2549.5,1176.25,1398.25,0.0,69.5,0.0,249.5,1116.25
2014-12-05 11:00:00+00:00,312.0,2502.5,567.0,0.0,0.0,2491.5,1156.5,1213.0,0.0,74.0,0.0,207.25,987.25
2014-12-05 12:00:00+00:00,312.0,2476.25,566.25,0.0,0.0,2413.5,1047.25,1078.0,0.0,65.25,0.0,207.0,962.5
2014-12-05 13:00:00+00:00,312.0,2393.25,566.0,0.0,0.0,2384.5,1118.5,1001.0,0.0,45.25,0.0,182.0,915.0
2014-12-05 14:00:00+00:00,312.0,2406.0,565.75,0.0,0.0,2396.5,1126.25,983.0,0.0,18.5,0.0,148.0,910.5
2014-12-05 15:00:00+00:00,316.0,2498.25,567.25,0.0,0.0,2522.75,1133.5,1309.75,0.0,3.0,0.0,121.25,994.25
2014-12-05 16:00:00+00:00,316.0,2462.5,567.75,0.0,0.0,2544.0,1113.0,1818.75,0.0,0.0,0.0,102.75,1079.75
2014-12-05 17:00:00+00:00,316.0,2459.0,567.0,0.0,0.0,2557.0,1078.75,1739.25,0.0,0.0,0.0,71.75,1009.5
2014-12-05 18:00:00+00:00,316.0,2446.25,567.0,0.0,0.0,2549.0,1151.75,1358.75,0.0,0.0,0.0,54.5,900.25
2014-12-05 19:00:00+00:00,316.0,2306.5,566.5,0.0,0.0,2549.5,974.75,670.0,0.0,0.0,0.0,45.0,661.0
2014-12-05 20:00:00+00:00,318.0,1733.25,568.0,0.0,0.0,2430.25,397.75,822.25,0.0,0.0,0.0,40.75,668.25
2014-12-05 21:00:00+00:00,320.0,1189.25,505.5,0.0,0.0,2310.25,272.25,747.75,0.0,0.0,0.0,48.0,485.75
2014-12-05 22:00:00+00:00,320.0,1076.0,445.0,0.0,0.0,2266.75,186.25,179.5,0.0,0.0,0.0,39.25,-353.75
