,Biomass,Energy storage,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore,Hydro Pumped Storage Net
2018-01-01 00:00:00+00:00,232.46,,1499.9,0.0,0.0,15.8825,4949.5425,514.9575,0.0,251.4625,814.385,1100.7475,
2018-01-01 01:00:00+00:00,153.58,,1565.8775,0.0,0.0,15.3825,4800.165,513.1525,0.0,253.295,807.1925,1108.7625,
2018-01-01 02:00:00+00:00,133.695,,1552.2325,0.0,0.0,15.1675,4577.3275,539.9775,0.0,253.28,805.795,1026.03,
2018-01-01 03:00:00+00:00,131.38,,1515.33,0.0,0.0,14.995,4522.4875,525.145,0.0,253.8675,805.3275,995.125,
2018-01-01 04:00:00+00:00,131.26,,1529.6825,0.0,0.0,14.7375,4528.6725,492.47,0.0,254.36,785.75,929.6875,
2018-01-01 05:00:00+00:00,131.445,,1522.715,0.0,0.0,14.6425,4527.4725,538.1175,0.0,255.805,776.3375,867.615,
2018-01-01 06:00:00+00:00,137.315,,1498.6675,0.0,0.0,14.32,4530.055,549.12,0.0,258.3025,795.4275,798.94,
2018-01-01 07:00:00+00:00,156.1275,,1463.235,0.0,0.0,14.145,4530.435,533.87,0.1225,260.555,786.42,786.2625,
2018-01-01 08:00:00+00:00,158.3775,,1446.04,0.0,0.0,13.705,4530.8825,550.5075,89.5175,258.7775,717.01,829.0025,
2018-01-01 09:00:00+00:00,161.39,,1399.9375,0.0,0.0,12.89,4529.5975,561.2025,292.535,260.9825,781.49,729.8675,
2018-01-01 10:00:00+00:00,157.7875,,1450.7575,0.0,0.0,12.705,4636.4875,545.37,435.6175,257.945,780.5725,680.2975,
2018-01-01 11:00:00+00:00,159.555,,1435.79,0.0,0.0,15.86,4861.495,546.905,241.5525,260.0875,746.9025,621.665,
2018-01-01 12:00:00+00:00,158.1925,,1567.8575,0.0,0.0,20.1025,4948.9225,597.625,138.755,258.3675,585.5525,539.6575,34.2275
2018-01-01 13:00:00+00:00,159.87,,1492.79,0.0,0.0,19.675,4946.2425,666.015,62.7925,258.4125,409.745,416.8925,30.974999999999998
2018-01-01 14:00:00+00:00,166.8225,,1562.6525,0.0,0.0,21.8575,4948.4075,673.1475,25.8225,256.74,168.655,378.49,
2018-01-01 15:00:00+00:00,165.11,,1713.3075,0.0,0.0,21.1125,4948.785,693.465,2.4425,260.325,54.455,263.815,
2018-01-01 16:00:00+00:00,163.5725,,1807.4225,0.0,0.0,20.6775,4949.6525,705.0325,0.0,256.535,231.39,184.2125,
2018-01-01 17:00:00+00:00,162.09,,1602.555,0.0,0.0,20.785,4949.8425,688.9775,0.0,258.01,136.2675,262.69,
2018-01-01 18:00:00+00:00,158.0125,,1503.52,0.0,0.0,20.54,4946.31,601.6325,0.0,255.7075,323.08,549.0825,
2018-01-01 19:00:00+00:00,153.38,,1370.8475,0.0,0.0,20.04,4942.9575,463.49,0.0,260.1875,774.17,610.5325,119.4325
2018-01-01 20:00:00+00:00,128.8325,,1449.6975,0.0,0.0,19.7575,4944.635,429.78,0.0,258.8725,675.5325,642.675,
2018-01-01 21:00:00+00:00,137.5425,,1422.8675,0.0,0.0,20.1325,4944.3525,453.7,0.0,261.8825,808.385,617.995,
2018-01-01 22:00:00+00:00,134.225,,1436.845,0.0,0.0,19.82,4945.42,522.6225,0.0,262.4525,810.3125,688.69,
2018-01-01 23:00:00+00:00,132.9775,,1392.665,0.0,0.0,19.66,4946.0175,591.2025,0.0,263.1625,812.4125,693.16,-92.035
2018-01-02 00:00:00+00:00,135.74,,1404.895,0.0,0.0,19.5475,4946.9075,584.415,0.0,260.5775,812.4275,698.5325,
2018-01-02 01:00:00+00:00,134.765,,1368.685,0.0,0.0,19.4625,4908.43,572.2325,0.0,261.3575,812.655,766.0825,
2018-01-02 02:00:00+00:00,152.4075,,1344.875,0.0,0.0,19.375,4849.355,562.8825,0.0,262.035,808.4075,790.6,
2018-01-02 03:00:00+00:00,158.01,,1392.675,0.0,0.0,19.34,4843.7125,522.8875,0.0,261.625,803.1275,754.54,
2018-01-02 04:00:00+00:00,172.87,,1497.33,0.0,0.0,19.19,4900.8275,529.2525,0.0,258.345,772.8425,687.9075,
2018-01-02 05:00:00+00:00,210.9475,,1509.905,0.0,0.0,19.075,4951.7,575.5325,0.0,243.3975,743.2775,566.52,
2018-01-02 06:00:00+00:00,243.95,,1723.605,0.0,0.0,18.5725,4951.6675,680.81,0.0,246.9225,759.6075,461.84,
2018-01-02 07:00:00+00:00,253.56,,1769.3175,0.0,0.0,19.025,4947.8875,708.0525,0.0425,256.51,713.8025,374.1925,
2018-01-02 08:00:00+00:00,277.3575,,2113.275,0.0,0.0,24.58,4961.5975,714.635,58.6275,263.595,450.845,309.9175,
2018-01-02 09:00:00+00:00,354.6825,,2310.6125,0.0,0.0,25.215,4952.1925,736.6725,245.855,270.775,388.545,259.4325,
2018-01-02 10:00:00+00:00,369.8025,,2355.2725,0.0,0.0,24.23,4948.1575,769.32,325.0325,267.4725,151.4575,167.9675,
2018-01-02 11:00:00+00:00,369.28,,2390.905,0.0,0.0,23.6425,4949.4975,790.605,265.565,266.3825,237.3125,187.49,
2018-01-02 12:00:00+00:00,369.2275,,2292.6325,0.0,0.0,23.47,4949.655,789.805,207.7475,267.2825,384.4825,224.26,108.24
2018-01-02 13:00:00+00:00,369.985,,2157.0625,0.0,0.0,23.305,4951.5375,753.8625,129.2425,256.5075,622.27,242.92,
2018-01-02 14:00:00+00:00,373.3375,,2337.3425,0.0,0.0,22.5375,4952.64,734.935,58.7725,258.8475,722.67,457.0075,21.244999999999997
2018-01-02 15:00:00+00:00,373.6,,2205.6525,0.0,0.0,22.6575,4946.6725,775.39,4.2525,269.125,779.3025,495.8525,
2018-01-02 16:00:00+00:00,371.39,,2258.005,0.0,0.0,21.6525,4948.19,770.715,0.0,269.255,809.14,624.045,
2018-01-02 17:00:00+00:00,374.3075,,2062.435,0.0,0.0,21.94,4953.595,683.7275,0.0,271.6175,808.585,888.1775,
2018-01-02 18:00:00+00:00,372.63,,1817.065,0.0,0.0,21.655,4943.88,632.8875,0.0,272.5875,805.79,1003.4075,
2018-01-02 19:00:00+00:00,366.3325,,1712.485,0.0,0.0,21.1375,4941.0125,574.4325,0.0,256.9025,803.0225,987.0375,-16.0425
2018-01-02 20:00:00+00:00,278.6925,,1685.44,0.0,0.0,20.96,4943.1775,548.3975,0.0,256.5325,795.5875,863.6225,41.24
2018-01-02 21:00:00+00:00,253.185,,1702.1575,0.0,0.0,20.565,4939.5875,532.33,0.0,252.2525,809.99,902.81,
2018-01-02 22:00:00+00:00,252.7975,,1668.125,0.0,0.0,20.715,4938.26,545.6125,0.0,248.3575,804.7,980.545,-2.884999999999998
2018-01-02 23:00:00+00:00,258.3075,,1671.1,0.0,0.0,20.56,4937.5975,475.6175,0.0,251.465,811.3425,1071.115,
2018-01-03 00:00:00+00:00,288.485,,1612.5,0.0,0.0,20.3325,4936.9425,482.26,0.0,252.455,785.27,1164.8975,
2018-01-03 01:00:00+00:00,323.6175,,1627.54,0.0,0.0,20.0375,4930.8,504.885,0.0,256.12,312.745,1233.2775,
2018-01-03 02:00:00+00:00,370.8725,,1634.5725,0.0,0.0,19.7825,4928.6525,549.755,0.0,252.4375,716.535,1172.6375,
2018-01-03 03:00:00+00:00,370.4575,,1649.745,0.0,0.0,19.0175,4923.8625,494.01,0.0,253.0925,801.755,1124.77,
2018-01-03 04:00:00+00:00,367.6275,,1673.51,0.0,0.0,16.9525,4931.3225,525.78,0.0,254.6375,501.5775,896.72,
2018-01-03 05:00:00+00:00,364.295,,1658.105,0.0,0.0,17.9975,4934.4225,547.3525,0.0,253.54,700.5725,914.5875,
2018-01-03 06:00:00+00:00,368.255,,1674.0775,0.0,0.0,18.635,4932.7025,588.3525,0.0,251.7225,668.96,933.56,-5.592499999999994
2018-01-03 07:00:00+00:00,363.755,,1610.215,0.0,0.0,20.23,4933.445,597.61,0.015,255.3275,626.5975,982.41,112.2725
2018-01-03 08:00:00+00:00,366.3,,1612.45,0.0,0.0,21.1325,4934.3525,603.3575,65.22,253.1675,286.285,955.4225,
2018-01-03 09:00:00+00:00,365.0825,,1743.2475,0.0,0.0,20.71,4941.01,608.5575,221.2725,249.0475,259.42,1059.5075,
2018-01-03 10:00:00+00:00,367.155,,1867.4925,0.0,0.0,21.035,4934.9325,627.5325,202.1925,249.765,266.29,1059.395,
2018-01-03 11:00:00+00:00,364.8575,,1842.9,0.0,0.0,20.485,4936.355,650.4525,217.2625,258.4375,427.7275,1034.7,
