,"('Biomass', 'Actual Aggregated')","('Biomass', 'Actual Consumption')","('Fossil Gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Consumption')","('Fossil Hard coal', 'Actual Aggregated')","('Fossil Hard coal', 'Actual Consumption')","('Fossil Oil', 'Actual Aggregated')","('Fossil Oil', 'Actual Consumption')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Run-of-river and poundage', 'Actual Consumption')","('Other renewable', 'Actual Aggregated')","('Other renewable', 'Actual Consumption')","('Solar', 'Actual Aggregated')","('Solar', 'Actual Consumption')","('Waste', 'Actual Aggregated')","('Waste', 'Actual Consumption')","('Wind Offshore', 'Actual Aggregated')","('Wind Offshore', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')","('Wind Onshore', 'Actual Consumption')",Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2018-01-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,199.0,163.0,185.0,7.0,2.0,5.0,0.0,90.0,661.58,1188.27
2018-01-01 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,115.0,184.0,212.0,15.0,2.0,6.0,0.0,93.0,507.94,1101.8
2018-01-01 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,101.0,186.0,191.0,11.0,2.0,6.0,0.0,91.0,490.28,1116.04
2018-01-01 03:00:00+00:00,,,,,,,,,,,,,,,,,,,,,102.0,181.0,195.0,12.0,2.0,5.0,0.0,92.0,589.34,1022.72
2018-01-01 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,102.0,155.0,183.0,14.0,2.0,6.0,0.0,93.0,580.67,1037.06
2018-01-01 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,104.0,161.0,159.0,11.0,2.0,6.0,0.0,91.0,609.06,1100.22
2018-01-01 06:00:00+00:00,,,,,,,,,,,,,,,,,,,,,106.0,174.0,181.0,16.0,2.0,6.0,0.0,92.0,601.41,1059.11
2018-01-01 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,119.0,182.0,151.0,9.0,2.0,5.0,0.28,89.0,651.34,1125.02
2018-01-01 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,153.86,192.76,171.43,7.3,2.0,4.93,6.96,76.72,719.25,1224.66
2018-01-01 09:00:00+00:00,,,,,,,,,,,,,,,,,,,,,197.54,196.64,215.27,6.7,2.0,4.77,22.78,84.08,771.27,1577.88
2018-01-01 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,192.34,218.44,276.17,14.7,2.0,5.67,33.38,78.68,752.99,1598.03
2018-01-01 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,224.2,209.2,247.6,14.0,2.0,5.6,40.45,79.4,768.3,1678.43
2018-01-01 12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,240.1,189.6,200.05,7.5,2.0,4.55,45.05,77.2,769.41,1931.3
2018-01-01 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,214.32,188.12,204.66,8.6,2.0,3.66,33.94,79.64,761.45,1843.98
2018-01-01 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,185.74,204.84,245.37,11.7,2.0,3.87,13.01,85.48,770.83,1684.77
2018-01-01 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,203.98,267.68,422.49,11.9,2.0,3.99,0.57,91.96,755.7,1422.85
2018-01-01 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,209.0,282.0,641.0,12.0,2.0,4.0,0.0,92.0,740.45,1234.03
2018-01-01 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,272.0,279.0,664.0,9.0,2.0,4.0,0.0,90.0,700.56,1174.28
2018-01-01 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,283.0,297.0,539.0,14.0,2.0,4.0,0.0,92.0,682.44,1176.09
2018-01-01 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,267.0,255.0,304.0,9.0,2.0,4.0,0.0,80.0,615.35,1214.34
2018-01-01 20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,231.0,238.0,241.0,9.0,2.0,4.0,0.0,81.0,642.53,1212.37
2018-01-01 21:00:00+00:00,,,,,,,,,,,,,,,,,,,,,174.0,267.0,243.0,15.0,2.0,5.0,0.0,83.0,583.44,1135.4
2018-01-01 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,154.0,254.0,305.0,12.0,2.0,5.0,0.0,86.0,577.04,1066.33
2018-01-01 23:00:00+00:00,,,,,,,,,,,,,,,,,,,,,154.0,178.0,397.0,3.0,2.0,5.0,0.0,92.0,553.09,1006.37
2018-01-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,153.0,159.0,442.0,2.0,2.0,5.0,0.0,92.0,572.9,911.07
2018-01-02 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,153.0,152.0,433.0,2.0,2.0,5.0,0.0,92.0,557.39,868.37
2018-01-02 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,153.0,165.0,436.0,2.0,2.0,5.0,0.0,92.0,503.65,797.1
