,"('Biomass', 'Actual Aggregated')","('Biomass', 'Actual Consumption')","('Fossil Gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Consumption')","('Fossil Hard coal', 'Actual Aggregated')","('Fossil Hard coal', 'Actual Consumption')","('Fossil Oil', 'Actual Aggregated')","('Fossil Oil', 'Actual Consumption')","('Solar', 'Actual Aggregated')","('Solar', 'Actual Consumption')","('Waste', 'Actual Aggregated')","('Waste', 'Actual Consumption')","('Wind Offshore', 'Actual Aggregated')","('Wind Offshore', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')","('Wind Onshore', 'Actual Consumption')",Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2018-01-01 00:00:00+00:00,,,,,,,,,,,,,,,,,388.0,73.0,69.0,27.0,0.0,51.0,255.45,363.24
2018-01-01 01:00:00+00:00,,,,,,,,,,,,,,,,,387.0,72.0,68.0,27.0,0.0,51.0,307.12,363.23
2018-01-01 02:00:00+00:00,,,,,,,,,,,,,,,,,387.0,73.0,68.0,27.0,0.0,50.0,363.94,378.57
2018-01-01 03:00:00+00:00,,,,,,,,,,,,,,,,,380.0,70.0,71.0,27.0,0.0,51.0,347.26,383.66
2018-01-01 04:00:00+00:00,,,,,,,,,,,,,,,,,288.0,49.0,71.0,27.0,0.0,50.0,336.6,386.05
2018-01-01 05:00:00+00:00,,,,,,,,,,,,,,,,,281.0,50.0,71.0,27.0,0.0,51.0,350.82,401.16
2018-01-01 06:00:00+00:00,,,,,,,,,,,,,,,,,311.0,48.0,102.0,26.0,0.0,51.0,364.58,411.71
2018-01-01 07:00:00+00:00,,,,,,,,,,,,,,,,,312.98,44.68,91.48,25.9,0.63,48.96,368.46,412.56
2018-01-01 08:00:00+00:00,,,,,,,,,,,,,,,,,315.92,50.72,64.92,26.6,4.24,49.84,368.37,412.6
2018-01-01 09:00:00+00:00,,,,,,,,,,,,,,,,,384.74,55.84,57.24,25.7,13.09,50.48,368.48,425.47
2018-01-01 10:00:00+00:00,,,,,,,,,,,,,,,,,383.58,62.28,50.08,24.9,20.74,49.16,368.66,428.71
2018-01-01 11:00:00+00:00,,,,,,,,,,,,,,,,,346.64,68.24,54.64,25.2,18.1,50.28,368.59,427.92
2018-01-01 12:00:00+00:00,,,,,,,,,,,,,,,,,420.7,69.2,51.2,25.5,14.82,50.4,368.16,435.94
2018-01-01 13:00:00+00:00,,,,,,,,,,,,,,,,,426.72,68.52,49.72,25.6,14.28,49.44,368.44,431.48
2018-01-01 14:00:00+00:00,,,,,,,,,,,,,,,,,429.88,75.08,57.88,27.4,6.18,50.76,352.9,426.1
2018-01-01 15:00:00+00:00,,,,,,,,,,,,,,,,,430.0,79.0,64.0,30.0,0.33,51.0,340.54,422.98
2018-01-01 16:00:00+00:00,,,,,,,,,,,,,,,,,430.0,79.0,75.0,31.0,0.0,59.0,359.07,354.48
2018-01-01 17:00:00+00:00,,,,,,,,,,,,,,,,,433.0,79.0,73.0,29.0,0.0,62.0,361.46,311.28
2018-01-01 18:00:00+00:00,,,,,,,,,,,,,,,,,429.0,80.0,64.0,32.0,0.0,61.0,356.08,297.4
2018-01-01 19:00:00+00:00,,,,,,,,,,,,,,,,,426.0,81.0,65.0,31.0,0.0,61.0,350.58,274.75
2018-01-01 20:00:00+00:00,,,,,,,,,,,,,,,,,425.0,81.0,64.0,29.0,0.0,60.0,360.57,255.07
2018-01-01 21:00:00+00:00,,,,,,,,,,,,,,,,,425.0,81.0,63.0,28.0,0.0,57.0,320.85,233.24
2018-01-01 22:00:00+00:00,,,,,,,,,,,,,,,,,406.0,80.0,63.0,27.0,0.0,59.0,253.28,226.98
2018-01-01 23:00:00+00:00,,,,,,,,,,,,,,,,,373.0,81.0,67.0,27.0,0.0,56.0,236.94,217.33
2018-01-02 00:00:00+00:00,,,,,,,,,,,,,,,,,373.0,79.0,64.0,27.0,0.0,56.0,196.78,214.31
2018-01-02 01:00:00+00:00,,,,,,,,,,,,,,,,,373.0,78.0,63.0,26.0,0.0,57.0,130.3,196.95
