,Biomass,Energy storage,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Offshore,Wind Onshore,Hydro Pumped Storage Net
2018-01-01 00:00:00+00:00,293.0,,2316.0,11.0,214.0,5786.0,2160.0,34793.0,0.0,257.0,,9707.0,
2018-01-01 01:00:00+00:00,293.0,,2286.0,11.0,215.0,5593.0,1571.0,34263.0,0.0,256.0,,9502.0,
2018-01-01 02:00:00+00:00,294.0,,2290.0,11.0,214.0,5507.0,1319.0,34081.0,0.0,252.0,,9288.0,
2018-01-01 03:00:00+00:00,294.0,,2291.0,10.0,215.0,5261.0,705.0,34103.0,0.0,252.0,,9005.0,
2018-01-01 04:00:00+00:00,294.0,,2271.0,10.0,217.0,5233.0,482.0,34032.0,0.0,249.0,,9050.0,
2018-01-01 05:00:00+00:00,294.0,,2275.0,11.0,217.0,5345.0,750.0,34437.0,0.0,247.0,,8925.0,
2018-01-01 06:00:00+00:00,294.0,,2393.0,11.0,216.0,5462.0,918.0,34376.0,0.0,250.0,,9021.0,
2018-01-01 07:00:00+00:00,294.0,,2414.0,10.0,215.0,5504.0,1372.0,34973.0,99.0,251.0,,8820.0,
2018-01-01 08:00:00+00:00,294.0,,2412.0,11.0,214.0,5764.0,1253.0,35491.0,490.0,251.0,,8590.0,
2018-01-01 09:00:00+00:00,293.0,,2408.0,11.0,214.0,5718.0,756.0,35900.0,1125.0,250.0,,8453.0,
2018-01-01 10:00:00+00:00,290.0,,2404.0,11.0,213.0,5781.0,880.0,36061.0,1550.0,252.0,,8557.0,
2018-01-01 11:00:00+00:00,291.0,,2400.0,11.0,213.0,5870.0,1479.0,35920.0,1534.0,252.0,,8710.0,
2018-01-01 12:00:00+00:00,293.0,,2399.0,11.0,215.0,5741.0,1798.0,36108.0,1363.0,250.0,,8286.0,
2018-01-01 13:00:00+00:00,294.0,,2394.0,11.0,215.0,5775.0,2485.0,36620.0,1095.0,249.0,,7839.0,
2018-01-01 14:00:00+00:00,294.0,,2398.0,12.0,216.0,5780.0,2240.0,38278.0,642.0,250.0,,7730.0,
2018-01-01 15:00:00+00:00,294.0,,2399.0,9.0,216.0,5750.0,2030.0,39870.0,222.0,251.0,,8633.0,
2018-01-01 16:00:00+00:00,294.0,,2401.0,8.0,216.0,5848.0,1803.0,43150.0,48.0,247.0,,9373.0,
2018-01-01 17:00:00+00:00,294.0,,2405.0,7.0,215.0,6065.0,1998.0,45302.0,0.0,248.0,,9495.0,
2018-01-01 18:00:00+00:00,294.0,,2409.0,3.0,214.0,6258.0,2846.0,46415.0,0.0,247.0,,9513.0,
2018-01-01 19:00:00+00:00,294.0,,2408.0,3.0,214.0,6099.0,2336.0,47170.0,0.0,244.0,,9409.0,
2018-01-01 20:00:00+00:00,296.0,,2413.0,3.0,214.0,5815.0,1363.0,47486.0,0.0,245.0,,9315.0,
2018-01-01 21:00:00+00:00,295.0,,2414.0,5.0,215.0,5991.0,1497.0,47449.0,0.0,245.0,,8874.0,
2018-01-01 22:00:00+00:00,294.0,,2421.0,8.0,215.0,6019.0,1511.0,47729.0,0.0,248.0,,8622.0,
2018-01-01 23:00:00+00:00,297.0,,2563.0,11.0,216.0,5894.0,1119.0,46834.0,0.0,251.0,,8479.0,
2018-01-02 00:00:00+00:00,297.0,,2569.0,11.0,216.0,5756.0,920.0,45266.0,0.0,251.0,,8214.0,
2018-01-02 01:00:00+00:00,297.0,,2570.0,11.0,214.0,5871.0,936.0,43646.0,0.0,254.0,,7897.0,
2018-01-02 02:00:00+00:00,297.0,,2576.0,11.0,214.0,5709.0,1009.0,43034.0,0.0,256.0,,7318.0,
2018-01-02 03:00:00+00:00,297.0,,2580.0,11.0,214.0,5561.0,1069.0,43426.0,0.0,243.0,,6788.0,
2018-01-02 04:00:00+00:00,296.0,,2580.0,11.0,215.0,5507.0,1289.0,45438.0,0.0,237.0,,6330.0,
2018-01-02 05:00:00+00:00,297.0,,2585.0,11.0,215.0,5601.0,2007.0,48067.0,0.0,234.0,,5560.0,
2018-01-02 06:00:00+00:00,297.0,,2737.0,11.0,216.0,5955.0,1938.0,50833.0,0.0,233.0,,4786.0,
2018-01-02 07:00:00+00:00,297.0,,3074.0,10.0,216.0,6147.0,1569.0,53545.0,84.0,237.0,,4305.0,
2018-01-02 08:00:00+00:00,297.0,,3328.0,9.0,215.0,6279.0,1510.0,54828.0,392.0,237.0,,4094.0,
2018-01-02 09:00:00+00:00,297.0,,3392.0,9.0,215.0,6471.0,1639.0,55085.0,881.0,243.0,,4014.0,
2018-01-02 10:00:00+00:00,296.0,,3431.0,10.0,215.0,6381.0,2415.0,55319.0,1199.0,237.0,,3815.0,
2018-01-02 11:00:00+00:00,297.0,,3463.0,11.0,215.0,6353.0,2895.0,55246.0,1196.0,254.0,,3826.0,
2018-01-02 12:00:00+00:00,297.0,,3328.0,11.0,214.0,6475.0,2572.0,55198.0,1183.0,253.0,,4223.0,
2018-01-02 13:00:00+00:00,295.0,,3109.0,11.0,214.0,6390.0,2261.0,55113.0,953.0,251.0,,4719.0,
2018-01-02 14:00:00+00:00,296.0,,3032.0,11.0,214.0,6263.0,2138.0,55331.0,566.0,252.0,,5587.0,
2018-01-02 15:00:00+00:00,297.0,,3131.0,9.0,215.0,6193.0,1810.0,55619.0,201.0,255.0,,6749.0,
2018-01-02 16:00:00+00:00,295.0,,3445.0,8.0,214.0,6450.0,1971.0,55658.0,63.0,260.0,,7387.0,
2018-01-02 17:00:00+00:00,294.0,,3660.0,8.0,214.0,6461.0,1912.0,55512.0,0.0,259.0,,7879.0,
2018-01-02 18:00:00+00:00,290.0,,3570.0,10.0,214.0,6461.0,2105.0,55649.0,0.0,252.0,,8087.0,
2018-01-02 19:00:00+00:00,295.0,,2855.0,11.0,214.0,6258.0,1474.0,54934.0,0.0,254.0,,8584.0,
2018-01-02 20:00:00+00:00,294.0,,2776.0,11.0,214.0,6096.0,1195.0,53865.0,0.0,253.0,,8997.0,
2018-01-02 21:00:00+00:00,298.0,,2771.0,11.0,213.0,6158.0,1529.0,53281.0,0.0,255.0,,9259.0,
2018-01-02 22:00:00+00:00,296.0,,2747.0,11.0,213.0,6303.0,1565.0,52764.0,0.0,257.0,,9695.0,
2018-01-02 23:00:00+00:00,295.0,,2516.0,11.0,214.0,6237.0,1055.0,50541.0,0.0,256.0,,10030.0,
2018-01-03 00:00:00+00:00,297.0,,2494.0,11.0,217.0,6044.0,1421.0,46688.0,0.0,256.0,,10159.0,
2018-01-03 01:00:00+00:00,298.0,,2491.0,11.0,217.0,6053.0,1057.0,45056.0,0.0,256.0,,9928.0,
2018-01-03 02:00:00+00:00,292.0,,2492.0,11.0,217.0,6027.0,851.0,43032.0,0.0,249.0,,9467.0,
2018-01-03 03:00:00+00:00,285.0,,2489.0,11.0,217.0,5830.0,700.0,42547.0,0.0,250.0,,9256.0,
2018-01-03 04:00:00+00:00,296.0,,2491.0,10.0,217.0,5815.0,934.0,43417.0,0.0,248.0,,8870.0,
2018-01-03 05:00:00+00:00,295.0,,2484.0,9.0,215.0,5932.0,1407.0,47138.0,0.0,246.0,,8298.0,
2018-01-03 06:00:00+00:00,296.0,,2489.0,9.0,214.0,6016.0,1789.0,50959.0,0.0,244.0,,8380.0,
2018-01-03 07:00:00+00:00,297.0,,2492.0,9.0,215.0,6184.0,1827.0,54247.0,85.0,233.0,,8524.0,
2018-01-03 08:00:00+00:00,297.0,,2501.0,10.0,216.0,6275.0,1903.0,55031.0,333.0,231.0,,8813.0,
2018-01-03 09:00:00+00:00,296.0,,2490.0,9.0,217.0,6274.0,1915.0,55140.0,823.0,231.0,,9140.0,
2018-01-03 10:00:00+00:00,294.0,,2498.0,10.0,216.0,6557.0,2159.0,55261.0,1197.0,234.0,,9388.0,
2018-01-03 11:00:00+00:00,292.0,,2489.0,10.0,217.0,6623.0,2208.0,55808.0,1455.0,236.0,,9541.0,
2018-01-03 12:00:00+00:00,292.0,,2486.0,10.0,216.0,6633.0,2519.0,55680.0,1367.0,239.0,,9630.0,
2018-01-03 13:00:00+00:00,292.0,,2488.0,9.0,216.0,6634.0,2458.0,55765.0,1019.0,238.0,,9734.0,
2018-01-03 14:00:00+00:00,293.0,,2495.0,9.0,216.0,6564.0,1949.0,55575.0,594.0,241.0,,9669.0,
2018-01-03 15:00:00+00:00,293.0,,2460.0,8.0,215.0,6546.0,1588.0,55288.0,206.0,242.0,,9581.0,
2018-01-03 16:00:00+00:00,293.0,,2377.0,8.0,215.0,6628.0,2409.0,55858.0,65.0,244.0,,9394.0,
2018-01-03 17:00:00+00:00,291.0,,2380.0,8.0,215.0,6773.0,3128.0,55926.0,0.0,244.0,,9358.0,
2018-01-03 18:00:00+00:00,290.0,,2359.0,9.0,216.0,6782.0,2746.0,55610.0,0.0,238.0,,9125.0,
2018-01-03 19:00:00+00:00,288.0,,2375.0,10.0,216.0,6744.0,1883.0,55213.0,0.0,238.0,,8448.0,
2018-01-03 20:00:00+00:00,290.0,,2405.0,10.0,215.0,6710.0,1426.0,54512.0,0.0,236.0,,8062.0,
2018-01-03 21:00:00+00:00,290.0,,2370.0,10.0,215.0,6506.0,1696.0,53431.0,0.0,238.0,,7938.0,
2018-01-03 22:00:00+00:00,289.0,,2344.0,10.0,216.0,6487.0,1680.0,52144.0,0.0,246.0,,7879.0,
2018-01-03 23:00:00+00:00,290.0,,2362.0,10.0,219.0,6527.0,1259.0,49347.0,0.0,256.0,,7541.0,
2018-01-04 00:00:00+00:00,290.0,,2386.0,10.0,219.0,6537.0,1503.0,46415.0,0.0,258.0,,6962.0,
2018-01-04 01:00:00+00:00,291.0,,2383.0,11.0,219.0,6505.0,1396.0,45720.0,0.0,260.0,,6778.0,
2018-01-04 02:00:00+00:00,292.0,,2382.0,10.0,219.0,6507.0,1198.0,45062.0,0.0,262.0,,6462.0,
2018-01-04 03:00:00+00:00,289.0,,2378.0,11.0,219.0,6425.0,1693.0,45902.0,0.0,263.0,,6138.0,
2018-01-04 04:00:00+00:00,293.0,,2394.0,10.0,219.0,6273.0,1398.0,48523.0,0.0,261.0,,6050.0,
2018-01-04 05:00:00+00:00,294.0,,2468.0,10.0,219.0,6413.0,1851.0,53145.0,0.0,258.0,,6307.0,
2018-01-04 06:00:00+00:00,293.0,,2532.0,9.0,218.0,6521.0,2300.0,54903.0,0.0,259.0,,6809.0,
2018-01-04 07:00:00+00:00,294.0,,2430.0,10.0,217.0,6556.0,2454.0,55277.0,92.0,252.0,,7694.0,
2018-01-04 08:00:00+00:00,294.0,,2428.0,10.0,218.0,6503.0,2334.0,55289.0,349.0,250.0,,8508.0,
2018-01-04 09:00:00+00:00,294.0,,2428.0,10.0,218.0,6655.0,2319.0,55265.0,847.0,248.0,,9371.0,
2018-01-04 10:00:00+00:00,294.0,,2419.0,9.0,220.0,6738.0,2543.0,55437.0,1243.0,247.0,,9887.0,
2018-01-04 11:00:00+00:00,295.0,,2415.0,11.0,219.0,6807.0,2491.0,55356.0,1430.0,258.0,,10065.0,
2018-01-04 12:00:00+00:00,295.0,,2417.0,10.0,219.0,6812.0,2417.0,55400.0,1408.0,260.0,,10045.0,
