,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2018-01-01 00:00:00+00:00,729.5,5382.0,1225.5,0.0,0.0,351.5,7265.5,89.0,0.0,3800.95,4977.425
2018-01-01 01:00:00+00:00,756.5,5684.5,1524.0,0.0,103.0,352.0,7259.0,88.5,0.0,3821.29,4924.045
2018-01-01 02:00:00+00:00,750.5,5017.5,1542.0,0.0,0.0,335.5,7258.0,89.0,0.0,3800.455,4730.715
2018-01-01 03:00:00+00:00,757.0,4408.5,1586.5,0.0,0.0,282.0,7254.5,89.0,0.0,3773.41,4709.055
2018-01-01 04:00:00+00:00,756.5,3543.0,1440.0,0.0,0.0,275.0,7262.0,89.0,0.0,3732.55,4589.58
2018-01-01 05:00:00+00:00,757.5,3543.5,1564.0,0.0,0.0,267.0,7257.5,89.0,0.0,3675.2250000000004,4433.6900000000005
2018-01-01 06:00:00+00:00,758.0,4582.0,1691.0,0.0,41.0,265.5,7261.0,89.0,4.0,3624.545,4017.495
2018-01-01 07:00:00+00:00,754.5,5718.0,1656.5,0.0,10.5,435.0,7263.5,89.0,0.0,3629.48,3686.145
2018-01-01 08:00:00+00:00,757.5,6521.5,1589.0,0.0,306.0,371.5,7265.5,88.5,5.5,3414.77,3302.92
2018-01-01 09:00:00+00:00,751.5,8308.0,1613.5,0.0,450.5,488.0,7263.0,88.5,326.5,3087.86,3192.87
2018-01-01 10:00:00+00:00,746.5,10010.5,1635.0,0.0,505.5,603.5,7260.0,89.0,776.5,3015.91,3136.105
2018-01-01 11:00:00+00:00,756.5,11951.5,1720.5,0.0,480.5,632.5,7259.0,89.0,1285.0,2916.63,3120.87
2018-01-01 12:00:00+00:00,757.5,13718.5,1688.0,0.0,488.5,545.0,7264.0,89.0,1855.0,2717.35,3120.13
2018-01-01 13:00:00+00:00,755.0,14855.0,1584.0,0.0,747.5,548.5,7255.5,89.0,1502.5,2070.34,2920.325
2018-01-01 14:00:00+00:00,745.5,14853.0,1858.5,0.0,362.5,483.5,7257.0,89.0,1051.0,2014.345,3174.42
2018-01-01 15:00:00+00:00,741.5,14626.5,2148.5,0.0,520.0,490.5,7251.0,88.5,252.5,1946.51,3504.505
2018-01-01 16:00:00+00:00,754.5,16030.5,2138.0,0.0,753.5,743.0,7263.0,88.5,1.0,2292.645,3992.815
2018-01-01 17:00:00+00:00,720.0,17011.5,2231.0,0.0,1157.0,701.0,7258.5,89.0,0.5,3057.41,4187.775
2018-01-01 18:00:00+00:00,733.0,16581.5,2085.0,0.0,467.0,713.0,7251.5,89.0,0.0,2874.625,4456.834999999999
2018-01-01 19:00:00+00:00,743.0,15192.5,1959.5,0.0,302.5,619.0,7262.5,89.0,0.0,3180.1549999999997,4537.3099999999995
2018-01-01 20:00:00+00:00,747.0,13125.0,1286.5,0.0,402.5,508.0,7261.5,88.5,0.0,3466.4300000000003,4823.9
2018-01-01 21:00:00+00:00,741.5,11166.0,1285.5,0.0,492.5,406.5,7259.0,89.0,0.0,3411.2799999999997,4672.125
