,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Water Reservoir,Solar,Wind Onshore
2014-12-28 22:00:00+00:00,,,,,,0.0,1034.0
2014-12-28 23:00:00+00:00,,,,,,0.0,997.0
2014-12-29 00:00:00+00:00,,,,,,0.0,888.0
2014-12-29 01:00:00+00:00,,,,,,0.0,855.0
2014-12-29 02:00:00+00:00,,,,,,0.0,798.0
2014-12-29 03:00:00+00:00,,,,,,0.0,780.0
2014-12-29 04:00:00+00:00,,,,,,0.0,770.0
2014-12-29 05:00:00+00:00,,,,,,21.0,698.0
2014-12-29 06:00:00+00:00,2761.0,132.0,0.0,68.0,515.0,123.0,735.0
2014-12-29 07:00:00+00:00,3095.0,132.0,0.0,121.0,507.0,440.0,773.0
2014-12-29 08:00:00+00:00,3092.0,132.0,0.0,126.0,448.0,849.0,762.0
2014-12-29 09:00:00+00:00,3039.0,133.0,0.0,126.0,515.0,1032.0,744.0
2014-12-29 10:00:00+00:00,2976.0,133.0,0.0,126.0,423.0,1076.0,685.0
2014-12-29 11:00:00+00:00,2931.0,133.0,0.0,126.0,351.0,1061.0,587.0
2014-12-29 12:00:00+00:00,2927.0,285.0,0.0,126.0,249.0,835.0,512.0
2014-12-29 13:00:00+00:00,2839.0,489.0,0.0,190.0,450.0,453.0,462.0
2014-12-29 14:00:00+00:00,3009.0,838.0,0.0,78.0,539.0,111.0,403.0
2014-12-29 15:00:00+00:00,3071.0,928.0,0.0,250.0,735.0,12.0,363.0
2014-12-29 16:00:00+00:00,3119.0,1490.0,0.0,438.0,1059.0,0.0,318.0
2014-12-29 17:00:00+00:00,3188.0,1509.0,0.0,448.0,815.0,0.0,297.0
2014-12-29 18:00:00+00:00,3273.0,1460.0,0.0,372.0,819.0,0.0,320.0
2014-12-29 19:00:00+00:00,3275.0,1197.0,0.0,29.0,481.0,0.0,339.0
2014-12-29 20:00:00+00:00,3162.0,966.0,0.0,0.0,259.0,0.0,387.0
2014-12-29 21:00:00+00:00,,1070.0,0.0,0.0,164.0,0.0,408.0
2014-12-29 22:00:00+00:00,2796.0,564.0,0.0,0.0,52.0,0.0,407.0
2014-12-29 23:00:00+00:00,2592.0,627.0,0.0,0.0,75.0,0.0,451.0
2014-12-30 00:00:00+00:00,2584.0,410.0,0.0,0.0,67.0,0.0,464.0
2014-12-30 01:00:00+00:00,2565.0,364.0,0.0,0.0,36.0,0.0,511.0
2014-12-30 02:00:00+00:00,2502.0,424.0,0.0,0.0,26.0,0.0,540.0
2014-12-30 03:00:00+00:00,2563.0,367.0,0.0,0.0,20.0,0.0,566.0
2014-12-30 04:00:00+00:00,2583.0,366.0,0.0,0.0,74.0,0.0,611.0
2014-12-30 05:00:00+00:00,2826.0,465.0,0.0,16.0,269.0,21.0,660.0
2014-12-30 06:00:00+00:00,3155.0,502.0,0.0,142.0,616.0,34.0,680.0
2014-12-30 07:00:00+00:00,3235.0,670.0,0.0,307.0,911.0,84.0,672.0
2014-12-30 08:00:00+00:00,3157.0,664.0,0.0,414.0,1132.0,132.0,666.0
2014-12-30 09:00:00+00:00,3078.0,937.0,0.0,375.0,1178.0,177.0,683.0
2014-12-30 10:00:00+00:00,3075.0,882.0,0.0,420.0,1242.0,222.0,714.0
2014-12-30 11:00:00+00:00,3052.0,945.0,0.0,376.0,1123.0,211.0,760.0
2014-12-30 12:00:00+00:00,3092.0,1024.0,0.0,222.0,859.0,177.0,790.0
2014-12-30 13:00:00+00:00,3135.0,892.0,0.0,146.0,752.0,108.0,826.0
2014-12-30 14:00:00+00:00,3158.0,957.0,0.0,166.0,798.0,42.0,864.0
2014-12-30 15:00:00+00:00,3164.0,1202.0,0.0,203.0,890.0,23.0,890.0
