,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Waste,Wind Onshore,Hydro Pumped Storage Net
2018-12-31 23:00:00+00:00,40.0,207.37,199.58,16.76,,87.52,172.92,46.0,0.0,,414.66,-6.58
2019-01-01 00:00:00+00:00,,,,,,,,,,,,
2019-01-01 01:00:00+00:00,40.0,205.06,199.58,17.29,,43.98,105.78,46.0,0.0,,405.18,-129.62
2019-01-01 02:00:00+00:00,40.0,205.81,199.76,17.16,,42.78,113.67,46.0,0.0,,380.38,-129.3
2019-01-01 03:00:00+00:00,40.0,204.51,199.76,17.23,,42.29,80.76,46.0,0.0,,423.62,-129.3
2019-01-01 04:00:00+00:00,40.0,213.53,199.76,17.72,,41.93,112.46,46.0,0.0,,374.43,-129.46
2019-01-01 05:00:00+00:00,40.0,213.42,200.11,19.04,,43.57,190.17,46.0,0.0,,345.29,-96.74
2019-01-01 06:00:00+00:00,40.0,214.63,199.58,18.48,,64.41,217.73,46.0,0.0,,345.46,-6.66
2019-01-01 07:00:00+00:00,40.0,215.31,199.94,17.56,,82.75,299.84,46.0,3.0,,325.58,-6.66
2019-01-01 08:00:00+00:00,40.0,215.71,199.41,16.96,,87.47,295.2,46.0,8.0,,275.53,-6.66
2019-01-01 09:00:00+00:00,40.0,215.89,199.76,17.95,,98.61,348.79,46.0,11.0,,213.03,-6.66
2019-01-01 10:00:00+00:00,40.0,215.6,199.58,18.68,,97.49,371.25,46.0,13.0,,132.01,-6.66
2019-01-01 11:00:00+00:00,40.0,214.92,199.94,18.41,,108.1,370.41,46.0,13.0,,97.45,-6.66
2019-01-01 12:00:00+00:00,40.0,214.41,199.94,18.22,,109.45,339.61,46.0,12.0,,92.23,-6.66
2019-01-01 13:00:00+00:00,40.0,214.37,199.76,18.28,,109.37,309.8,46.0,9.0,,73.88,-6.66
2019-01-01 14:00:00+00:00,40.0,214.3,199.94,17.92,,109.75,307.56,46.0,3.0,,58.57,-6.66
2019-01-01 15:00:00+00:00,40.0,213.36,199.76,16.9,,117.16,377.27,46.0,0.0,,56.15,-6.5
2019-01-01 16:00:00+00:00,40.0,214.83,198.88,16.5,,145.04,537.44,46.0,0.0,,61.1,77.34
2019-01-01 17:00:00+00:00,40.0,215.14,199.94,16.57,,152.33,591.57,46.0,0.0,,61.29,77.5
2019-01-01 18:00:00+00:00,40.0,215.07,200.99,16.33,,153.52,607.66,46.0,0.0,,34.5,77.58
2019-01-01 19:00:00+00:00,40.0,214.81,200.46,16.07,,154.62,587.82,46.0,0.0,,22.65,97.1
2019-01-01 20:00:00+00:00,40.0,215.36,199.94,16.63,,159.87,579.0,46.0,0.0,,23.93,128.14000000000001
2019-01-01 21:00:00+00:00,40.0,214.76,199.41,20.92,,121.85,500.43,46.0,0.0,,31.42,106.54
2019-01-01 22:00:00+00:00,40.0,211.77,199.23,21.42,,102.15,477.39,46.0,0.0,,26.63,-6.82
2019-01-01 23:00:00+00:00,40.0,212.26,199.58,21.52,,81.74,234.98,46.0,0.0,,20.89,-6.66
2019-01-02 00:00:00+00:00,40.0,210.56,199.41,21.35,,56.65,178.28,46.0,0.0,,21.83,-47.6
2019-01-02 01:00:00+00:00,40.0,209.95,199.58,21.42,,56.61,180.99,46.0,0.0,,23.31,-129.38
2019-01-02 02:00:00+00:00,40.0,208.76,199.76,20.66,,56.33,209.27,46.0,0.0,,31.25,-129.3
2019-01-02 03:00:00+00:00,40.0,213.09,199.58,20.76,,56.53,199.04,46.0,0.0,,63.73,-129.06
2019-01-02 04:00:00+00:00,40.0,213.55,199.76,24.88,,56.65,210.85,46.0,0.0,,76.39,-128.26
2019-01-02 05:00:00+00:00,40.0,214.15,199.94,22.77,,93.38,424.95,46.0,0.0,,78.98,-6.82
2019-01-02 06:00:00+00:00,40.0,213.53,199.76,19.27,,119.34,596.7,46.0,0.0,,116.82,97.34
2019-01-02 07:00:00+00:00,40.0,213.71,199.58,17.0,,147.47,668.85,46.0,4.0,,210.48,98.22
2019-01-02 08:00:00+00:00,40.0,213.64,199.41,17.03,,147.76,590.3,46.0,9.0,,340.75,98.3
2019-01-02 09:00:00+00:00,40.0,214.57,199.94,18.38,,149.45,595.37,46.0,12.0,,409.74,98.14
