,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Other,Solar,Wind Onshore,Hydro Pumped Storage Net
2018-01-01 00:00:00+00:00,685.73,259.06,0.06,173.875,178.01,0.0,,1988.125,-76.22
2018-01-01 01:00:00+00:00,636.5150000000001,269.47,0.045,194.41,175.655,0.0,,1883.9450000000002,-115.67000000000002
2018-01-01 02:00:00+00:00,670.495,290.815,0.045,197.885,179.77499999999998,0.0,,1699.995,-229.27
2018-01-01 03:00:00+00:00,702.25,317.99,0.09,205.125,178.49,0.0,,1386.62,-227.55
2018-01-01 04:00:00+00:00,664.395,358.04,0.045,212.755,178.905,0.0,,1310.58,-225.20499999999998
2018-01-01 05:00:00+00:00,582.5550000000001,325.24,0.03,210.22,172.18,0.0,,1412.5900000000001,-225.02
2018-01-01 06:00:00+00:00,557.7049999999999,238.7,0.03,200.1,175.13,0.0,,1565.97,-221.835
2018-01-01 07:00:00+00:00,538.825,220.2,0.015,148.69,177.0,0.0,,1732.28,-218.20999999999998
2018-01-01 08:00:00+00:00,538.165,219.36,0.015,147.725,177.31,0.0,,1688.23,-180.855
2018-01-01 09:00:00+00:00,546.2,223.39999999999998,0.0,148.15,177.255,0.0,,1846.6399999999999,-25.645000000000003
2018-01-01 10:00:00+00:00,542.435,220.625,0.0,147.95499999999998,178.775,0.0,,2115.205,17.31
2018-01-01 11:00:00+00:00,545.78,223.43,0.0,148.65,178.99,0.0,,2357.485,19.07
2018-01-01 12:00:00+00:00,537.0899999999999,220.87,0.015,147.92000000000002,178.0,0.0,,2442.65,19.545
2018-01-01 13:00:00+00:00,552.925,222.885,0.0,147.235,176.29000000000002,0.0,,2443.04,25.0
2018-01-01 14:00:00+00:00,564.71,216.51999999999998,0.0,147.72,175.47500000000002,0.0,,2359.09,22.33
2018-01-01 15:00:00+00:00,573.595,214.89,0.03,159.11,174.605,0.0,,2152.7650000000003,21.78
2018-01-01 16:00:00+00:00,623.49,240.75,0.06,185.765,178.51999999999998,0.0,,1938.9650000000001,67.7
2018-01-01 17:00:00+00:00,801.7049999999999,351.195,0.075,245.965,193.78,0.0,,1838.19,118.72
2018-01-01 18:00:00+00:00,944.745,413.49,0.13,260.61,195.325,0.0,,1541.2199999999998,144.43
2018-01-01 19:00:00+00:00,884.98,351.92,0.15,269.255,193.10500000000002,0.0,,1222.965,140.22
2018-01-01 20:00:00+00:00,969.96,391.91499999999996,0.15,282.90999999999997,197.73,0.0,,957.985,150.66
2018-01-01 21:00:00+00:00,947.345,494.72,0.15,293.3,194.04500000000002,0.0,,705.5350000000001,98.505
2018-01-01 22:00:00+00:00,934.94,372.235,0.15,297.03,192.565,0.0,,613.2750000000001,19.66
2018-01-01 23:00:00+00:00,955.735,360.69,0.13,307.16999999999996,175.985,0.0,,568.74,83.345
