,Biomass,Energy storage,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore,Hydro Pumped Storage Net
2018-01-01 00:00:00+00:00,151.0,,,2071.0,465.0,0.0,,651.0,55.0,3078.0,,0.0,47.0,15.0,
2018-01-01 01:00:00+00:00,112.0,,,1349.0,342.0,0.0,,547.0,39.0,2267.0,,0.0,34.0,9.0,
2018-01-01 02:00:00+00:00,152.0,,,1566.0,438.0,0.0,,607.0,54.0,2656.0,,0.0,48.0,8.0,
2018-01-01 03:00:00+00:00,153.0,,,1633.0,419.0,0.0,,615.0,54.0,2747.0,,0.0,48.0,9.0,
2018-01-01 04:00:00+00:00,153.0,,,1993.0,431.0,0.0,,630.0,54.0,2811.0,,0.0,49.0,12.0,
2018-01-01 05:00:00+00:00,152.0,,,2312.0,457.0,0.0,,668.0,56.0,2922.0,,0.0,47.0,11.0,
2018-01-01 06:00:00+00:00,144.0,,,2293.0,465.0,0.0,,709.0,94.0,3164.0,,0.0,49.0,13.0,
2018-01-01 07:00:00+00:00,151.0,,,2206.0,466.0,0.0,,919.0,81.0,2829.0,,9.0,44.0,14.0,
2018-01-01 08:00:00+00:00,148.0,,,2563.0,472.0,0.0,,1017.0,57.0,3159.0,,63.0,45.0,12.0,
2018-01-01 09:00:00+00:00,146.0,,,2899.0,509.0,0.0,,873.0,236.0,4156.0,,207.0,45.0,8.0,
2018-01-01 10:00:00+00:00,149.0,,,3259.0,547.0,0.0,,898.0,269.0,4248.0,,327.0,46.0,7.0,
2018-01-01 11:00:00+00:00,151.0,,,3282.0,569.0,0.0,,860.0,261.0,4428.0,,479.0,46.0,7.0,
2018-01-01 12:00:00+00:00,151.0,,,2959.0,594.0,0.0,,829.0,255.0,4168.0,,486.0,45.0,8.0,
2018-01-01 13:00:00+00:00,151.0,,,3299.0,555.0,0.0,,860.0,154.0,4132.0,,464.0,45.0,11.0,
2018-01-01 14:00:00+00:00,151.0,,,3455.0,568.0,0.0,,957.0,204.0,4488.0,,228.0,45.0,5.0,
2018-01-01 15:00:00+00:00,153.0,,,3436.0,575.0,0.0,,1339.0,496.0,4702.0,,38.0,41.0,9.0,
2018-01-01 16:00:00+00:00,149.0,,,3472.0,550.0,0.0,,1289.0,284.0,4516.0,,0.0,44.0,9.0,
2018-01-01 17:00:00+00:00,150.0,,,3132.0,573.0,0.0,,1633.0,282.0,4432.0,,0.0,45.0,2.0,
2018-01-01 18:00:00+00:00,150.0,,,2797.0,543.0,0.0,,1598.0,286.0,4311.0,,0.0,45.0,1.0,
2018-01-01 19:00:00+00:00,150.0,,,2542.0,475.0,0.0,,1198.0,272.0,3647.0,,0.0,44.0,8.0,
2018-01-01 20:00:00+00:00,114.0,,,1661.0,344.0,0.0,,833.0,43.0,2632.0,,0.0,32.0,7.0,
2018-01-01 21:00:00+00:00,154.0,,,2035.0,458.0,0.0,,777.0,53.0,3095.0,,0.0,44.0,16.0,
2018-01-01 22:00:00+00:00,154.0,,,1786.0,411.0,0.0,,775.0,53.0,2971.0,,0.0,44.0,18.0,
