,Biomass,Energy storage,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore,Hydro Pumped Storage Net
2018-01-01 00:00:00+00:00,19.0,,216.0,432.0,,275.0,,9.0,0.0,82.0,,0.0,,118.0,
2018-01-01 01:00:00+00:00,13.0,,162.0,321.0,,200.0,,7.0,0.0,74.0,,0.0,,140.0,
2018-01-01 02:00:00+00:00,19.0,,216.0,368.0,,275.0,,9.0,0.0,72.0,,0.0,,347.0,
2018-01-01 03:00:00+00:00,19.0,,216.0,345.0,,79.0,,9.0,0.0,62.0,,0.0,,501.0,
2018-01-01 04:00:00+00:00,19.0,,216.0,357.0,,63.0,,9.0,0.0,59.0,,0.0,,568.0,
2018-01-01 05:00:00+00:00,19.0,,216.0,357.0,,63.0,,9.0,0.0,63.0,,0.0,,649.0,
2018-01-01 06:00:00+00:00,18.0,,216.0,357.0,,63.0,,9.0,0.0,66.0,,1.0,,739.0,
2018-01-01 07:00:00+00:00,19.0,,216.0,357.0,,63.0,,9.0,0.0,71.0,,72.0,,717.0,
2018-01-01 08:00:00+00:00,19.0,,216.0,357.0,,63.0,,8.0,0.0,79.0,,175.0,,763.0,
2018-01-01 09:00:00+00:00,19.0,,216.0,356.0,,63.0,,8.0,0.0,81.0,,231.0,,843.0,
2018-01-01 10:00:00+00:00,19.0,,216.0,342.0,,63.0,,7.0,0.0,86.0,,252.0,,971.0,
2018-01-01 11:00:00+00:00,19.0,,215.0,303.0,,63.0,,8.0,0.0,89.0,,260.0,,1092.0,
2018-01-01 12:00:00+00:00,19.0,,215.0,302.0,,63.0,,7.0,0.0,80.0,,252.0,,1104.0,
2018-01-01 13:00:00+00:00,18.0,,215.0,302.0,,63.0,,8.0,0.0,101.0,,284.0,,969.0,
2018-01-01 14:00:00+00:00,17.0,,215.0,304.0,,63.0,,8.0,0.0,106.0,,183.0,,989.0,
2018-01-01 15:00:00+00:00,18.0,,215.0,321.0,,63.0,,7.0,0.0,108.0,,38.0,,1082.0,
2018-01-01 16:00:00+00:00,17.0,,215.0,357.0,,63.0,,6.0,0.0,94.0,,0.0,,1275.0,
2018-01-01 17:00:00+00:00,19.0,,215.0,331.0,,63.0,,6.0,0.0,130.0,,0.0,,1271.0,
2018-01-01 18:00:00+00:00,18.0,,215.0,302.0,,63.0,,6.0,0.0,137.0,,0.0,,1241.0,
2018-01-01 19:00:00+00:00,19.0,,215.0,303.0,,63.0,,6.0,0.0,112.0,,0.0,,1194.0,
2018-01-01 20:00:00+00:00,13.0,,161.0,265.0,,46.0,,5.0,0.0,107.0,,0.0,,879.0,
2018-01-01 21:00:00+00:00,19.0,,215.0,330.0,,63.0,,5.0,0.0,103.0,,0.0,,1226.0,
2018-01-01 22:00:00+00:00,18.0,,215.0,291.0,,66.0,,8.0,0.0,92.0,,0.0,,1152.0,
2018-01-01 23:00:00+00:00,16.0,,214.0,247.0,,58.0,,6.0,0.0,104.0,,0.0,,867.0,
2018-01-02 00:00:00+00:00,16.0,,214.0,199.0,,58.0,,6.0,0.0,85.0,,0.0,,766.0,
2018-01-02 01:00:00+00:00,16.0,,214.0,194.0,,58.0,,6.0,0.0,80.0,,0.0,,776.0,
2018-01-02 02:00:00+00:00,16.0,,214.0,195.0,,58.0,,6.0,0.0,76.0,,0.0,,815.0,
2018-01-02 03:00:00+00:00,16.0,,214.0,247.0,,58.0,,6.0,0.0,76.0,,0.0,,796.0,
2018-01-02 04:00:00+00:00,16.0,,214.0,247.0,,58.0,,6.0,0.0,80.0,,0.0,,764.0,
2018-01-02 05:00:00+00:00,16.0,,214.0,258.0,,59.0,,6.0,0.0,88.0,,0.0,,803.0,
2018-01-02 06:00:00+00:00,16.0,,214.0,261.0,,63.0,,6.0,0.0,98.0,,2.0,,882.0,
2018-01-02 07:00:00+00:00,16.0,,213.0,260.0,,67.0,,6.0,0.0,100.0,,32.0,,1256.0,
2018-01-02 08:00:00+00:00,16.0,,214.0,261.0,,72.0,,7.0,0.0,102.0,,216.0,,1401.0,
2018-01-02 09:00:00+00:00,16.0,,214.0,252.0,,115.0,,7.0,0.0,98.0,,358.0,,1360.0,
2018-01-02 10:00:00+00:00,16.0,,215.0,255.0,,197.0,,7.0,0.0,93.0,,398.0,,1227.0,
2018-01-02 11:00:00+00:00,16.0,,217.0,261.0,,196.0,,7.0,0.0,91.0,,353.0,,1301.0,
2018-01-02 12:00:00+00:00,16.0,,216.0,261.0,,195.0,,7.0,0.0,91.0,,331.0,,1318.0,
2018-01-02 13:00:00+00:00,16.0,,216.0,258.0,,197.0,,7.0,0.0,93.0,,330.0,,1335.0,
2018-01-02 14:00:00+00:00,16.0,,216.0,261.0,,223.0,,7.0,0.0,105.0,,180.0,,1406.0,
2018-01-02 15:00:00+00:00,16.0,,216.0,253.0,,198.0,,7.0,0.0,119.0,,25.0,,1372.0,
2018-01-02 16:00:00+00:00,16.0,,216.0,254.0,,212.0,,7.0,0.0,136.0,,0.0,,1316.0,
2018-01-02 17:00:00+00:00,16.0,,216.0,251.0,,205.0,,6.0,0.0,141.0,,0.0,,1237.0,
2018-01-02 18:00:00+00:00,16.0,,216.0,250.0,,209.0,,6.0,0.0,144.0,,0.0,,1263.0,
2018-01-02 19:00:00+00:00,16.0,,217.0,253.0,,221.0,,6.0,0.0,144.0,,0.0,,1248.0,
2018-01-02 20:00:00+00:00,16.0,,217.0,252.0,,197.0,,6.0,0.0,136.0,,0.0,,1251.0,
2018-01-02 21:00:00+00:00,16.0,,217.0,247.0,,203.0,,6.0,0.0,123.0,,0.0,,1264.0,
2018-01-02 22:00:00+00:00,16.0,,217.0,247.0,,200.0,,6.0,0.0,104.0,,0.0,,1205.0,
2018-01-02 23:00:00+00:00,16.0,,217.0,240.0,,88.0,,3.0,0.0,85.0,,0.0,,1165.0,
2018-01-03 00:00:00+00:00,16.0,,217.0,241.0,,58.0,,5.0,0.0,72.0,,0.0,,1127.0,
2018-01-03 01:00:00+00:00,16.0,,217.0,237.0,,59.0,,7.0,0.0,72.0,,0.0,,1085.0,
2018-01-03 02:00:00+00:00,16.0,,217.0,238.0,,59.0,,9.0,0.0,72.0,,0.0,,1029.0,
2018-01-03 03:00:00+00:00,16.0,,217.0,239.0,,58.0,,10.0,0.0,73.0,,0.0,,977.0,
2018-01-03 04:00:00+00:00,16.0,,217.0,244.0,,59.0,,10.0,0.0,79.0,,0.0,,867.0,
2018-01-03 05:00:00+00:00,16.0,,217.0,272.0,,66.0,,10.0,0.0,87.0,,0.0,,814.0,
2018-01-03 06:00:00+00:00,16.0,,217.0,340.0,,58.0,,10.0,0.0,98.0,,13.0,,792.0,
2018-01-03 07:00:00+00:00,16.0,,217.0,402.0,,59.0,,10.0,0.0,105.0,,184.0,,839.0,
2018-01-03 08:00:00+00:00,16.0,,217.0,400.0,,59.0,,12.0,0.0,108.0,,397.0,,805.0,
2018-01-03 09:00:00+00:00,16.0,,217.0,399.0,,64.0,,12.0,0.0,103.0,,453.0,,807.0,
2018-01-03 10:00:00+00:00,16.0,,217.0,397.0,,72.0,,12.0,0.0,103.0,,436.0,,788.0,
2018-01-03 11:00:00+00:00,16.0,,217.0,376.0,,59.0,,12.0,0.0,100.0,,482.0,,804.0,
2018-01-03 12:00:00+00:00,16.0,,217.0,312.0,,59.0,,12.0,0.0,102.0,,377.0,,835.0,
2018-01-03 13:00:00+00:00,17.0,,217.0,462.0,,63.0,,9.0,0.0,107.0,,226.0,,876.0,
2018-01-03 14:00:00+00:00,19.0,,219.0,476.0,,63.0,,8.0,0.0,121.0,,149.0,,936.0,
2018-01-03 15:00:00+00:00,19.0,,218.0,475.0,,62.0,,8.0,0.0,135.0,,31.0,,1006.0,
2018-01-03 16:00:00+00:00,19.0,,219.0,477.0,,63.0,,8.0,0.0,148.0,,0.0,,1080.0,
2018-01-03 17:00:00+00:00,19.0,,219.0,478.0,,63.0,,7.0,0.0,150.0,,0.0,,1273.0,
2018-01-03 18:00:00+00:00,19.0,,218.0,478.0,,63.0,,7.0,0.0,152.0,,0.0,,1321.0,
2018-01-03 19:00:00+00:00,19.0,,218.0,473.0,,73.0,,7.0,0.0,152.0,,0.0,,1343.0,
2018-01-03 20:00:00+00:00,19.0,,218.0,436.0,,73.0,,7.0,0.0,145.0,,0.0,,1378.0,
2018-01-03 21:00:00+00:00,19.0,,218.0,395.0,,66.0,,7.0,0.0,137.0,,0.0,,1336.0,
