,Biomass,Energy storage,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Hydro Pumped Storage Net
2018-01-01 00:00:00+00:00,51.37,,46.32,105.57,21.46,0.0,19.1,347.22,-13.65
2018-01-01 01:00:00+00:00,51.35,,45.91,104.22,21.56,0.0,19.11,288.27,-13.57
2018-01-01 02:00:00+00:00,51.35,,45.88,76.46,21.03,0.0,19.09,276.39,-13.59
2018-01-01 03:00:00+00:00,51.53,,45.79,76.17,20.89,0.0,19.1,256.84,-13.68
2018-01-01 04:00:00+00:00,51.76,,45.7,105.38,20.92,0.0,19.0,269.47,-13.85
2018-01-01 05:00:00+00:00,51.89,,45.54,105.42,20.58,0.0,19.08,289.13,-122.54
2018-01-01 06:00:00+00:00,51.61,,45.64,105.39,20.69,0.95,19.1,306.19,-13.94
2018-01-01 07:00:00+00:00,51.4,,45.42,105.41,18.7,1.16,19.09,342.43,-13.94
2018-01-01 08:00:00+00:00,51.47,,45.2,105.44,20.67,2.32,19.08,365.44,-13.67
2018-01-01 09:00:00+00:00,51.42,,45.06,105.5,21.45,2.78,19.03,384.38,0.0
2018-01-01 10:00:00+00:00,51.46,,44.96,105.47,21.46,3.47,19.11,405.22,0.0
2018-01-01 11:00:00+00:00,51.3,,44.98,105.46,20.35,3.21,19.05,364.06,0.0
2018-01-01 12:00:00+00:00,50.95,,44.95,105.49,19.59,1.39,19.08,331.43,0.0
2018-01-01 13:00:00+00:00,50.97,,45.18,105.47,19.05,0.02,19.06,262.83,0.0
2018-01-01 14:00:00+00:00,50.99,,45.23,105.32,20.09,0.0,19.09,214.29,0.0
2018-01-01 15:00:00+00:00,50.95,,45.26,105.46,20.4,0.0,19.12,284.74,0.0
2018-01-01 16:00:00+00:00,50.96,,45.27,105.42,20.41,0.0,19.08,352.37,0.0
2018-01-01 17:00:00+00:00,50.95,,45.14,105.44,21.87,0.0,19.1,343.53,0.0
2018-01-01 18:00:00+00:00,51.04,,45.32,105.44,21.01,0.0,19.11,336.05,0.0
2018-01-01 19:00:00+00:00,50.91,,45.56,105.44,20.56,0.0,19.11,292.94,0.0
2018-01-01 20:00:00+00:00,50.74,,45.58,105.4,20.57,0.0,19.11,251.13,0.0
2018-01-01 21:00:00+00:00,50.14,,45.7,103.06,20.64,0.0,19.1,262.76,0.0
2018-01-01 22:00:00+00:00,49.84,,45.84,76.42,20.59,0.0,19.02,298.41,-125.47
2018-01-01 23:00:00+00:00,49.88,,45.96,55.24,20.98,0.0,19.1,329.0,-12.08
2018-01-02 00:00:00+00:00,49.93,,46.05,55.22,21.23,0.0,19.11,343.42,-13.549999999999999
2018-01-02 01:00:00+00:00,50.04,,45.99,55.25,21.06,0.0,19.11,311.23,-122.75999999999999
2018-01-02 02:00:00+00:00,50.23,,46.02,55.25,21.06,0.0,19.11,320.29,-13.35
2018-01-02 03:00:00+00:00,51.08,,46.08,55.24,21.08,0.0,19.06,304.91,-13.23
2018-01-02 04:00:00+00:00,51.89,,45.88,55.21,20.69,0.0,18.68,288.61,0.15
2018-01-02 05:00:00+00:00,52.03,,46.11,55.43,20.82,0.0,18.57,271.02,0.15
2018-01-02 06:00:00+00:00,52.17,,46.04,105.48,21.04,0.94,18.02,230.68,0.15
2018-01-02 07:00:00+00:00,52.1,,46.1,105.55,21.98,1.31,17.89,172.62,0.15
2018-01-02 08:00:00+00:00,52.2,,45.94,105.53,22.29,4.57,18.15,147.56,0.15
2018-01-02 09:00:00+00:00,52.17,,45.9,105.53,21.91,6.52,18.08,125.82,0.15
2018-01-02 10:00:00+00:00,52.04,,45.98,105.55,22.01,5.06,18.4,90.57,0.15
2018-01-02 11:00:00+00:00,51.92,,46.11,105.53,21.84,3.14,18.08,78.42,41.57
2018-01-02 12:00:00+00:00,51.91,,46.16,105.56,21.17,1.68,17.97,74.1,72.52
2018-01-02 13:00:00+00:00,51.69,,46.12,105.53,19.89,0.03,17.91,81.97,0.11
2018-01-02 14:00:00+00:00,51.56,,46.17,105.54,20.42,0.0,17.91,101.33,196.25
2018-01-02 15:00:00+00:00,51.52,,46.18,105.56,20.92,0.0,17.89,139.02,402.72
2018-01-02 16:00:00+00:00,51.49,,46.12,105.56,20.71,0.0,18.02,135.73,427.12
2018-01-02 17:00:00+00:00,51.34,,46.08,105.41,20.48,0.0,18.36,113.87,12.38
2018-01-02 18:00:00+00:00,51.63,,46.06,105.37,20.72,0.0,18.58,88.57,0.0
2018-01-02 19:00:00+00:00,51.5,,46.06,105.38,21.17,0.0,18.54,70.43,0.0
2018-01-02 20:00:00+00:00,51.33,,46.0,105.4,21.47,0.0,18.45,72.25,0.0
2018-01-02 21:00:00+00:00,50.75,,46.03,99.3,21.45,0.0,18.43,68.91,0.0
2018-01-02 22:00:00+00:00,50.56,,46.14,55.33,21.89,0.0,18.26,58.69,0.0
2018-01-02 23:00:00+00:00,50.37,,46.14,105.5,22.23,0.0,18.57,51.02,0.0
2018-01-03 00:00:00+00:00,50.4,,46.01,105.44,23.07,0.0,18.53,49.57,-222.23
2018-01-03 01:00:00+00:00,50.51,,46.12,105.46,22.24,0.0,18.46,39.75,-216.98
2018-01-03 02:00:00+00:00,50.62,,46.13,105.46,4.0,0.0,18.63,40.21,-216.79
