,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
2014-12-23 12:00:00+00:00,86.0,0.0,,400.0,92.0,,22.0
2014-12-23 13:00:00+00:00,89.0,0.0,,586.0,95.0,,16.0
2014-12-23 14:00:00+00:00,91.0,0.0,,692.0,96.0,,18.0
2014-12-23 15:00:00+00:00,92.0,0.0,,761.0,97.0,,19.0
2014-12-23 16:00:00+00:00,93.0,0.0,,692.0,98.0,,20.0
2014-12-23 17:00:00+00:00,93.0,0.0,,656.0,98.0,,22.0
2014-12-23 18:00:00+00:00,90.0,0.0,,400.0,95.0,,19.0
2014-12-23 19:00:00+00:00,89.0,0.0,,225.0,95.0,,18.0
2014-12-23 20:00:00+00:00,89.0,0.0,,67.0,95.0,,15.0
2014-12-23 21:00:00+00:00,87.0,0.0,,39.0,93.0,,17.0
2014-12-23 22:00:00+00:00,84.0,0.0,,3.0,90.0,,16.0
2014-12-23 23:00:00+00:00,84.0,0.0,,0.0,90.0,,17.0
2014-12-24 00:00:00+00:00,84.0,0.0,,0.0,91.0,,15.0
2014-12-24 01:00:00+00:00,84.0,0.0,,0.0,90.0,,14.0
2014-12-24 02:00:00+00:00,86.0,0.0,,0.0,93.0,,13.0
2014-12-24 03:00:00+00:00,88.0,0.0,,0.0,94.0,,14.0
2014-12-24 04:00:00+00:00,92.0,0.0,,1.0,95.0,,12.0
2014-12-24 05:00:00+00:00,92.0,0.0,,56.0,95.0,,15.0
2014-12-24 06:00:00+00:00,92.0,0.0,,143.0,94.0,,13.0
2014-12-24 07:00:00+00:00,91.0,0.0,,302.0,93.0,,10.0
2014-12-24 08:00:00+00:00,91.0,0.0,,353.0,93.0,,9.0
2014-12-24 09:00:00+00:00,89.0,0.0,,346.0,92.0,,10.0
2014-12-24 10:00:00+00:00,87.0,0.0,,334.0,90.0,,9.0
2014-12-24 11:00:00+00:00,88.0,0.0,,336.0,91.0,,5.0
2014-12-24 12:00:00+00:00,88.0,0.0,,336.0,92.0,,3.0
2014-12-24 13:00:00+00:00,92.0,0.0,,433.0,96.0,,1.0
2014-12-24 14:00:00+00:00,93.0,0.0,,687.0,98.0,,1.0
2014-12-24 15:00:00+00:00,96.0,0.0,,746.0,101.0,,2.0
2014-12-24 16:00:00+00:00,97.0,0.0,,604.0,102.0,,3.0
2014-12-24 17:00:00+00:00,99.0,0.0,,422.0,104.0,,1.0
2014-12-24 18:00:00+00:00,92.0,0.0,,333.0,97.0,,1.0
2014-12-24 19:00:00+00:00,103.0,0.0,,39.0,111.0,,4.0
2014-12-24 20:00:00+00:00,90.0,0.0,,41.0,95.0,,6.0
2014-12-24 21:00:00+00:00,88.0,0.0,,3.0,92.0,,9.0
2014-12-24 22:00:00+00:00,90.0,0.0,,41.0,95.0,,16.0
2014-12-24 23:00:00+00:00,87.0,0.0,,2.0,92.0,,13.0
2014-12-25 00:00:00+00:00,87.0,0.0,,0.0,92.0,,23.0
2014-12-25 01:00:00+00:00,87.0,0.0,,0.0,92.0,,14.0
2014-12-25 02:00:00+00:00,89.0,0.0,,0.0,94.0,,18.0
2014-12-25 03:00:00+00:00,92.0,0.0,,0.0,95.0,,18.0
2014-12-25 04:00:00+00:00,94.0,0.0,,0.0,95.0,,16.0
2014-12-25 05:00:00+00:00,94.0,0.0,,2.0,95.0,,10.0
2014-12-25 06:00:00+00:00,92.0,0.0,,179.0,94.0,,8.0
2014-12-25 07:00:00+00:00,92.0,0.0,,246.0,94.0,,10.0
2014-12-25 08:00:00+00:00,93.0,0.0,,249.0,94.0,,10.0
2014-12-25 09:00:00+00:00,93.0,0.0,,249.0,93.0,,8.0
2014-12-25 10:00:00+00:00,93.0,0.0,,146.0,93.0,,7.0
2014-12-25 11:00:00+00:00,94.0,0.0,,145.0,94.0,,8.0
2014-12-25 12:00:00+00:00,94.0,0.0,,103.0,94.0,,8.0
2014-12-25 13:00:00+00:00,94.0,0.0,,192.0,95.0,,7.0
2014-12-25 14:00:00+00:00,95.0,0.0,,505.0,96.0,,5.0
2014-12-25 15:00:00+00:00,96.0,0.0,,644.0,96.0,,3.0
2014-12-25 16:00:00+00:00,97.0,0.0,,767.0,97.0,,6.0
2014-12-25 17:00:00+00:00,97.0,0.0,,766.0,97.0,,4.0
2014-12-25 18:00:00+00:00,97.0,0.0,,347.0,97.0,,4.0
2014-12-25 19:00:00+00:00,98.0,0.0,,45.0,98.0,,3.0
2014-12-25 20:00:00+00:00,97.0,0.0,,27.0,97.0,,2.0
2014-12-25 21:00:00+00:00,95.0,0.0,,0.0,95.0,,1.0
2014-12-25 22:00:00+00:00,96.0,0.0,,15.0,94.0,,0.0
2014-12-25 23:00:00+00:00,97.0,0.0,,1.0,94.0,,0.0
2014-12-26 00:00:00+00:00,97.0,0.0,,0.0,94.0,,3.0
2014-12-26 01:00:00+00:00,96.0,0.0,,0.0,94.0,,4.0
2014-12-26 02:00:00+00:00,97.0,0.0,,0.0,95.0,,1.0
2014-12-26 03:00:00+00:00,97.0,0.0,,0.0,96.0,,5.0
2014-12-26 04:00:00+00:00,99.0,0.0,,0.0,96.0,,10.0
2014-12-26 05:00:00+00:00,99.0,0.0,,3.0,97.0,,7.0
2014-12-26 06:00:00+00:00,98.0,0.0,,93.0,96.0,,6.0
2014-12-26 07:00:00+00:00,98.0,0.0,,197.0,96.0,,10.0
2014-12-26 08:00:00+00:00,98.0,0.0,,296.0,96.0,,14.0
2014-12-26 09:00:00+00:00,96.0,0.0,,180.0,96.0,,16.0
2014-12-26 10:00:00+00:00,94.0,0.0,,157.0,96.0,,18.0
2014-12-26 11:00:00+00:00,94.0,0.0,,153.0,97.0,,20.0
2014-12-26 12:00:00+00:00,92.0,0.0,,123.0,95.0,,20.0
2014-12-26 13:00:00+00:00,94.0,0.0,,155.0,96.0,,19.0
2014-12-26 14:00:00+00:00,97.0,0.0,,518.0,97.0,,17.0
2014-12-26 15:00:00+00:00,99.0,0.0,,651.0,98.0,,17.0
2014-12-26 16:00:00+00:00,100.0,0.0,,725.0,98.0,,20.0
2014-12-26 17:00:00+00:00,101.0,0.0,,660.0,98.0,,20.0
2014-12-26 18:00:00+00:00,100.0,0.0,,283.0,98.0,,20.0
2014-12-26 19:00:00+00:00,102.0,0.0,,185.0,100.0,,19.0
2014-12-26 20:00:00+00:00,100.0,0.0,,17.0,98.0,,16.0
2014-12-26 21:00:00+00:00,98.0,0.0,,3.0,96.0,,16.0
2014-12-26 22:00:00+00:00,97.0,0.0,,0.0,94.0,,18.0
2014-12-26 23:00:00+00:00,92.0,0.0,,0.0,89.0,,14.0
2014-12-27 00:00:00+00:00,92.0,0.0,,0.0,88.0,,13.0
2014-12-27 01:00:00+00:00,92.0,0.0,,0.0,88.0,,16.0
2014-12-27 02:00:00+00:00,92.0,0.0,,0.0,90.0,,16.0
2014-12-27 03:00:00+00:00,93.0,0.0,,0.0,91.0,,22.0
2014-12-27 04:00:00+00:00,93.0,0.0,,0.0,93.0,,19.0
2014-12-27 05:00:00+00:00,93.0,0.0,,0.0,93.0,,19.0
2014-12-27 06:00:00+00:00,93.0,0.0,,33.0,94.0,,15.0
2014-12-27 07:00:00+00:00,94.0,0.0,,103.0,94.0,,19.0
2014-12-27 08:00:00+00:00,95.0,0.0,,124.0,93.0,,20.0
2014-12-27 09:00:00+00:00,95.0,0.0,,140.0,93.0,,16.0
2014-12-27 10:00:00+00:00,94.0,0.0,,141.0,92.0,,19.0
2014-12-27 11:00:00+00:00,94.0,0.0,,141.0,92.0,,20.0
2014-12-27 12:00:00+00:00,94.0,0.0,,124.0,91.0,,19.0
2014-12-27 13:00:00+00:00,93.0,0.0,,123.0,90.0,,17.0
2014-12-27 14:00:00+00:00,92.0,0.0,,143.0,91.0,,7.0
2014-12-27 15:00:00+00:00,92.0,0.0,,246.0,90.0,,10.0
2014-12-27 16:00:00+00:00,94.0,0.0,,54.0,92.0,,9.0
2014-12-27 17:00:00+00:00,95.0,0.0,,140.0,92.0,,10.0
2014-12-27 18:00:00+00:00,96.0,0.0,,171.0,93.0,,3.0
2014-12-27 19:00:00+00:00,96.0,0.0,,157.0,92.0,,2.0
2014-12-27 20:00:00+00:00,94.0,0.0,,51.0,91.0,,1.0
2014-12-27 21:00:00+00:00,93.0,0.0,,42.0,89.0,,0.0
2014-12-27 22:00:00+00:00,93.0,0.0,,42.0,89.0,,0.0
2014-12-27 23:00:00+00:00,90.0,0.0,,0.0,86.0,,0.0
2014-12-28 00:00:00+00:00,90.0,0.0,,0.0,86.0,,0.0
2014-12-28 01:00:00+00:00,89.0,0.0,,0.0,85.0,,0.0
2014-12-28 02:00:00+00:00,91.0,0.0,,0.0,88.0,,0.0
2014-12-28 03:00:00+00:00,91.0,0.0,,0.0,88.0,,0.0
2014-12-28 04:00:00+00:00,92.0,0.0,,5.0,89.0,,0.0
2014-12-28 05:00:00+00:00,91.0,0.0,,34.0,88.0,,3.0
