,Fossil Brown coal/Lignite,Hydro Water Reservoir,Other renewable,Solar,Wind Onshore
2018-01-01 00:00:00+00:00,154.61,0.0,,,
2018-01-01 01:00:00+00:00,154.66,0.0,,,
2018-01-01 02:00:00+00:00,154.61,0.0,,,
2018-01-01 03:00:00+00:00,154.99,0.0,,,
2018-01-01 04:00:00+00:00,155.32,0.0,,,
2018-01-01 05:00:00+00:00,154.66,0.0,,,
2018-01-01 06:00:00+00:00,153.89,0.0,,,
2018-01-01 07:00:00+00:00,155.49,0.0,,,
2018-01-01 08:00:00+00:00,155.1,0.0,,,
2018-01-01 09:00:00+00:00,154.55,0.0,,,
2018-01-01 10:00:00+00:00,155.16,0.0,,,
2018-01-01 11:00:00+00:00,154.72,0.0,,,
2018-01-01 12:00:00+00:00,155.27,0.0,,,
2018-01-01 13:00:00+00:00,153.89,0.0,,,
2018-01-01 14:00:00+00:00,154.83,0.0,,,
2018-01-01 15:00:00+00:00,156.97,0.0,,,
2018-01-01 16:00:00+00:00,179.41,0.0,,,
2018-01-01 17:00:00+00:00,204.77,0.0,,,
2018-01-01 18:00:00+00:00,204.93,0.0,,,
2018-01-01 19:00:00+00:00,205.7,0.0,,,
2018-01-01 20:00:00+00:00,206.31,0.0,,,
2018-01-01 21:00:00+00:00,206.47,0.0,,,
2018-01-01 22:00:00+00:00,205.81,0.0,,,
2018-01-01 23:00:00+00:00,179.41,0.0,,,
2018-01-02 00:00:00+00:00,178.2,0.0,,,
2018-01-02 01:00:00+00:00,178.2,0.0,,,
2018-01-02 02:00:00+00:00,178.15,0.0,,,
2018-01-02 03:00:00+00:00,178.42,0.0,,,
2018-01-02 04:00:00+00:00,177.98,0.0,,,
2018-01-02 05:00:00+00:00,201.91,0.0,,,
2018-01-02 06:00:00+00:00,205.76,0.73,,,
2018-01-02 07:00:00+00:00,206.75,192.06,,,
2018-01-02 08:00:00+00:00,205.7,210.18,,,
2018-01-02 09:00:00+00:00,206.36,210.16,,,
2018-01-02 10:00:00+00:00,205.87,210.82,,,
2018-01-02 11:00:00+00:00,206.09,314.56,,,
2018-01-02 12:00:00+00:00,205.98,312.53,,,
2018-01-02 13:00:00+00:00,206.25,314.66,,,
2018-01-02 14:00:00+00:00,206.91,315.4,,,
2018-01-02 15:00:00+00:00,207.02,314.67,,,
2018-01-02 16:00:00+00:00,205.81,311.9,,,
2018-01-02 17:00:00+00:00,206.69,314.59,,,
2018-01-02 18:00:00+00:00,206.42,312.35,,,
2018-01-02 19:00:00+00:00,205.32,206.66,,,
2018-01-02 20:00:00+00:00,204.88,71.35,,,
2018-01-02 21:00:00+00:00,178.37,0.0,,,
2018-01-02 22:00:00+00:00,155.65,0.0,,,
2018-01-02 23:00:00+00:00,154.5,0.0,,,
2018-01-03 00:00:00+00:00,154.55,0.0,,,
2018-01-03 01:00:00+00:00,154.72,0.0,,,
2018-01-03 02:00:00+00:00,154.94,0.0,,,
2018-01-03 03:00:00+00:00,154.94,0.0,,,
2018-01-03 04:00:00+00:00,155.27,0.0,,,
2018-01-03 05:00:00+00:00,154.66,0.0,,,
2018-01-03 06:00:00+00:00,154.72,1.06,,,
2018-01-03 07:00:00+00:00,174.3,81.72,,,
2018-01-03 08:00:00+00:00,204.66,200.81,,,
2018-01-03 09:00:00+00:00,206.97,159.92,,,
2018-01-03 10:00:00+00:00,207.08,160.69,,,
2018-01-03 11:00:00+00:00,207.13,138.81,,,
2018-01-03 12:00:00+00:00,207.02,140.73,,,
2018-01-03 13:00:00+00:00,206.75,142.18,,,
2018-01-03 14:00:00+00:00,207.24,228.06,,,
2018-01-03 15:00:00+00:00,206.03,243.05,,,
2018-01-03 16:00:00+00:00,205.59,271.74,,,
2018-01-03 17:00:00+00:00,206.42,269.69,,,
2018-01-03 18:00:00+00:00,206.2,295.99,,,
2018-01-03 19:00:00+00:00,206.2,0.0,,,
2018-01-03 20:00:00+00:00,180.79,0.0,,,
2018-01-03 21:00:00+00:00,155.87,0.0,,,
2018-01-03 22:00:00+00:00,156.26,0.0,,,
2018-01-03 23:00:00+00:00,177.54,0.0,,,
2018-01-04 00:00:00+00:00,178.64,0.0,,,
2018-01-04 01:00:00+00:00,178.64,0.0,,,
2018-01-04 02:00:00+00:00,178.42,0.0,,,
2018-01-04 03:00:00+00:00,177.21,0.0,,,
2018-01-04 04:00:00+00:00,179.47,0.0,,,
2018-01-04 05:00:00+00:00,206.09,0.0,,,
2018-01-04 06:00:00+00:00,207.52,69.63,,,
2018-01-04 07:00:00+00:00,207.19,175.23,,,
2018-01-04 08:00:00+00:00,205.92,210.71,,,
2018-01-04 09:00:00+00:00,205.15,211.35,,,
2018-01-04 10:00:00+00:00,206.2,271.14,,,
2018-01-04 11:00:00+00:00,206.2,290.57,,,
2018-01-04 12:00:00+00:00,206.36,290.9,,,
2018-01-04 13:00:00+00:00,206.47,290.75,,,
2018-01-04 14:00:00+00:00,207.9,290.99,,,
2018-01-04 15:00:00+00:00,207.19,290.68,,,
2018-01-04 16:00:00+00:00,206.47,300.91,,,
2018-01-04 17:00:00+00:00,206.58,300.2,,,
2018-01-04 18:00:00+00:00,206.97,299.82,,,
2018-01-04 19:00:00+00:00,206.53,209.47,,,
2018-01-04 20:00:00+00:00,207.19,70.54,,,
2018-01-04 21:00:00+00:00,207.3,0.0,,,
2018-01-04 22:00:00+00:00,207.13,0.0,,,
2018-01-04 23:00:00+00:00,181.34,0.0,,,
2018-01-05 00:00:00+00:00,177.87,0.0,,,
2018-01-05 01:00:00+00:00,177.87,0.0,,,
2018-01-05 02:00:00+00:00,178.26,0.0,,,
2018-01-05 03:00:00+00:00,178.81,0.0,,,
2018-01-05 04:00:00+00:00,178.48,0.0,,,
2018-01-05 05:00:00+00:00,203.94,0.0,,,
2018-01-05 06:00:00+00:00,207.52,0.0,,,
2018-01-05 07:00:00+00:00,207.79,211.0,,,
2018-01-05 08:00:00+00:00,206.25,211.71,,,
2018-01-05 09:00:00+00:00,206.86,211.38,,,
2018-01-05 10:00:00+00:00,206.86,212.01,,,
2018-01-05 11:00:00+00:00,207.63,211.28,,,
2018-01-05 12:00:00+00:00,206.42,211.7,,,
2018-01-05 13:00:00+00:00,206.69,212.24,,,
2018-01-05 14:00:00+00:00,206.47,211.46,,,
2018-01-05 15:00:00+00:00,206.2,211.71,,,
2018-01-05 16:00:00+00:00,205.26,260.88,,,
2018-01-05 17:00:00+00:00,205.92,257.94,,,
2018-01-05 18:00:00+00:00,206.75,209.24,,,
2018-01-05 19:00:00+00:00,207.02,0.0,,,
2018-01-05 20:00:00+00:00,206.64,0.0,,,
2018-01-05 21:00:00+00:00,207.02,0.0,,,
2018-01-05 22:00:00+00:00,205.59,0.0,,,
2018-01-05 23:00:00+00:00,181.06,0.0,,,
2018-01-06 00:00:00+00:00,178.42,0.0,,,
2018-01-06 01:00:00+00:00,178.09,0.0,,,
2018-01-06 02:00:00+00:00,178.26,0.0,,,
2018-01-06 03:00:00+00:00,178.31,0.0,,,
2018-01-06 04:00:00+00:00,179.14,0.0,,,
2018-01-06 05:00:00+00:00,205.65,0.0,,,
2018-01-06 06:00:00+00:00,207.57,0.0,,,
2018-01-06 07:00:00+00:00,207.41,0.0,,,
2018-01-06 08:00:00+00:00,206.69,0.0,,,
2018-01-06 09:00:00+00:00,206.86,0.0,,,
2018-01-06 10:00:00+00:00,207.3,0.0,,,
2018-01-06 11:00:00+00:00,205.81,0.0,,,
2018-01-06 12:00:00+00:00,206.64,0.0,,,
2018-01-06 13:00:00+00:00,207.19,0.0,,,
2018-01-06 14:00:00+00:00,206.97,0.0,,,
2018-01-06 15:00:00+00:00,206.2,0.0,,,
2018-01-06 16:00:00+00:00,206.25,0.0,,,
2018-01-06 17:00:00+00:00,206.31,0.0,,,
2018-01-06 18:00:00+00:00,207.3,0.0,,,
2018-01-06 19:00:00+00:00,206.8,0.0,,,
2018-01-06 20:00:00+00:00,207.13,0.0,,,
2018-01-06 21:00:00+00:00,206.8,0.0,,,
2018-01-06 22:00:00+00:00,206.36,0.0,,,
2018-01-06 23:00:00+00:00,178.97,0.0,,,
2018-01-07 00:00:00+00:00,177.54,0.0,,,
2018-01-07 01:00:00+00:00,177.38,0.0,,,
2018-01-07 02:00:00+00:00,178.59,0.0,,,
2018-01-07 03:00:00+00:00,178.64,0.0,,,
2018-01-07 04:00:00+00:00,176.66,0.0,,,
2018-01-07 05:00:00+00:00,203.78,0.0,,,
2018-01-07 06:00:00+00:00,206.03,0.0,,,
