,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2014-12-05 23:00:00+00:00,91.0,3554.0,1125.0,,1368.0,,,,,
2014-12-06 00:00:00+00:00,93.0,3220.0,1123.0,,1369.0,,,,,
2014-12-06 01:00:00+00:00,80.0,2909.0,1125.0,,1369.0,,,,,
2014-12-06 02:00:00+00:00,71.0,2848.0,1116.0,,1369.0,,,,,
2014-12-06 03:00:00+00:00,69.0,2848.0,962.0,,1369.0,,,,,
2014-12-06 04:00:00+00:00,66.0,2988.0,991.0,,1368.0,,,,,
2014-12-06 05:00:00+00:00,72.0,3979.0,1122.0,,1367.0,,,,,
2014-12-06 06:00:00+00:00,79.0,5663.0,1130.0,,1366.0,,,,,
2014-12-06 07:00:00+00:00,79.0,7803.0,1106.0,,1367.0,,,,,
2014-12-06 08:00:00+00:00,80.0,8704.0,1124.0,,1366.0,,,,,
2014-12-06 09:00:00+00:00,83.0,8847.0,1128.0,,1366.0,,,,,
2014-12-06 10:00:00+00:00,88.0,8764.0,1128.0,,1367.0,,,,,
2014-12-06 11:00:00+00:00,95.0,8638.0,1129.0,,1367.0,,,,,
2014-12-06 12:00:00+00:00,86.0,8671.0,1129.0,,1368.0,,,,,
2014-12-06 13:00:00+00:00,98.0,8773.0,1127.0,,1368.0,,,,,
2014-12-06 14:00:00+00:00,83.0,8745.0,1128.0,,1368.0,,,,,
2014-12-06 15:00:00+00:00,64.0,8618.0,1126.0,,1367.0,,,,,
2014-12-06 16:00:00+00:00,67.0,8782.0,1124.0,,1367.0,,,,,
2014-12-06 17:00:00+00:00,78.0,8679.0,1127.0,,1366.0,,,,,
2014-12-06 18:00:00+00:00,88.0,8551.0,1129.0,,1366.0,,,,,
2014-12-06 19:00:00+00:00,97.0,8354.0,1125.0,,1367.0,,,,,
2014-12-06 20:00:00+00:00,95.0,4969.0,1121.0,,1366.0,,,,,
2014-12-06 21:00:00+00:00,89.0,3440.0,1122.0,,1366.0,,,,,
2014-12-06 22:00:00+00:00,75.0,3036.0,1126.0,,1366.0,,,,,
2014-12-06 23:00:00+00:00,76.0,1880.0,1121.0,,1366.0,,,,,
2014-12-07 00:00:00+00:00,94.0,1698.0,1010.0,,1367.0,,,,,
2014-12-07 01:00:00+00:00,95.0,1667.0,932.0,,1368.0,,,,,
2014-12-07 02:00:00+00:00,81.0,1394.0,498.0,,1367.0,,,,,
2014-12-07 03:00:00+00:00,93.0,1407.0,446.0,,1367.0,,,,,
2014-12-07 04:00:00+00:00,106.0,1534.0,444.0,,1367.0,,,,,
2014-12-07 05:00:00+00:00,108.0,1616.0,481.0,,1367.0,,,,,
2014-12-07 06:00:00+00:00,107.0,1853.0,928.0,,1366.0,,,,,
2014-12-07 07:00:00+00:00,99.0,1973.0,991.0,,1366.0,,,,,
2014-12-07 08:00:00+00:00,93.0,2248.0,1115.0,,1366.0,,,,,
2014-12-07 09:00:00+00:00,101.0,2746.0,1119.0,,1366.0,,,,,
2014-12-07 10:00:00+00:00,98.0,3312.0,1118.0,,1366.0,,,,,
2014-12-07 11:00:00+00:00,95.0,3462.0,1118.0,,1367.0,,,,,
2014-12-07 12:00:00+00:00,98.0,3431.0,1118.0,,1367.0,,,,,
2014-12-07 13:00:00+00:00,105.0,3353.0,1119.0,,1368.0,,,,,
2014-12-07 14:00:00+00:00,103.0,3081.0,1118.0,,1368.0,,,,,
2014-12-07 15:00:00+00:00,93.0,3400.0,1117.0,,1368.0,,,,,
2014-12-07 16:00:00+00:00,90.0,3425.0,1120.0,,1367.0,,,,,
2014-12-07 17:00:00+00:00,89.0,3466.0,1122.0,,1367.0,,,,,
2014-12-07 18:00:00+00:00,75.0,3394.0,1124.0,,1367.0,,,,,
2014-12-07 19:00:00+00:00,87.0,3345.0,1123.0,,1367.0,,,,,
2014-12-07 20:00:00+00:00,89.0,3303.0,1124.0,,1367.0,,,,,
2014-12-07 21:00:00+00:00,81.0,2857.0,1119.0,,1367.0,,,,,
2014-12-07 22:00:00+00:00,92.0,2193.0,1117.0,,1366.0,,,,,
2014-12-07 23:00:00+00:00,101.0,1765.0,1058.0,,1367.0,,,,,
2014-12-08 00:00:00+00:00,96.0,1714.0,1001.0,,1367.0,,,,,
2014-12-08 01:00:00+00:00,99.0,1657.0,882.0,,1368.0,,,,,
2014-12-08 02:00:00+00:00,102.0,1675.0,879.0,,1368.0,,,,,
2014-12-08 03:00:00+00:00,106.0,1762.0,911.0,,1368.0,,,,,
2014-12-08 04:00:00+00:00,101.0,2580.0,903.0,,1368.0,,,,,
2014-12-08 05:00:00+00:00,90.0,4958.0,1022.0,,1368.0,,,,,
2014-12-08 06:00:00+00:00,99.0,8861.0,1100.0,,1367.0,,,,,
2014-12-08 07:00:00+00:00,102.0,12550.0,1118.0,,1367.0,,,,,
2014-12-08 08:00:00+00:00,98.0,13437.0,1118.0,,1367.0,,,,,
2014-12-08 09:00:00+00:00,91.0,14536.0,1118.0,,1366.0,,,,,
2014-12-08 10:00:00+00:00,86.0,15153.0,1118.0,,1367.0,,,,,
2014-12-08 11:00:00+00:00,101.0,15135.0,1118.0,,1367.0,,,,,
2014-12-08 12:00:00+00:00,112.0,15254.0,1117.0,,1367.0,,,,,
2014-12-08 13:00:00+00:00,112.0,15369.0,1115.0,,1368.0,,,,,
2014-12-08 14:00:00+00:00,116.0,15466.0,1114.0,,1368.0,,,,,
2014-12-08 15:00:00+00:00,111.0,15499.0,1112.0,,1368.0,,,,,
2014-12-08 16:00:00+00:00,112.0,15491.0,1121.0,,1368.0,,,,,
2014-12-08 17:00:00+00:00,102.0,15336.0,1116.0,,1368.0,,,,,
2014-12-08 18:00:00+00:00,84.0,15327.0,1118.0,,1367.0,,,,,
2014-12-08 19:00:00+00:00,86.0,12815.0,1118.0,,1359.0,,,,,
2014-12-08 20:00:00+00:00,78.0,9848.0,1118.0,,1360.0,,,,,
2014-12-08 21:00:00+00:00,91.0,6967.0,1119.0,,1363.0,,,,,
2014-12-08 22:00:00+00:00,100.0,4745.0,1120.0,,1366.0,,,,,
2014-12-08 23:00:00+00:00,104.0,3766.0,1120.0,,1368.0,,,,,
2014-12-09 00:00:00+00:00,107.0,3274.0,1115.0,,1367.0,,,,,
2014-12-09 01:00:00+00:00,107.0,3206.0,1108.0,,1368.0,,,,,
2014-12-09 02:00:00+00:00,110.0,2972.0,952.0,,1368.0,,,,,
2014-12-09 03:00:00+00:00,112.0,3597.0,958.0,,1368.0,,,,,
2014-12-09 04:00:00+00:00,112.0,3778.0,1114.0,,1368.0,,,,,
2014-12-09 05:00:00+00:00,113.0,7093.0,1122.0,,1368.0,,,,,
2014-12-09 06:00:00+00:00,114.0,12995.0,1121.0,,1367.0,,,,,
2014-12-09 07:00:00+00:00,104.0,15539.0,1119.0,,1367.0,,,,,
2014-12-09 08:00:00+00:00,85.0,15587.0,1120.0,,1369.0,,,,,
2014-12-09 09:00:00+00:00,95.0,15499.0,1123.0,,1367.0,,,,,
2014-12-09 10:00:00+00:00,108.0,15526.0,1123.0,,1366.0,,,,,
2014-12-09 11:00:00+00:00,111.0,15427.0,1122.0,,1366.0,,,,,
2014-12-09 12:00:00+00:00,113.0,15386.0,1124.0,,1367.0,,,,,
2014-12-09 13:00:00+00:00,108.0,15944.0,1119.0,,1367.0,,,,,
2014-12-09 14:00:00+00:00,114.0,15980.0,1119.0,,1368.0,,,,,
2014-12-09 15:00:00+00:00,112.0,16011.0,1073.0,,1368.0,,,,,
2014-12-09 16:00:00+00:00,110.0,16013.0,1119.0,,1368.0,,,,,
2014-12-09 17:00:00+00:00,110.0,15827.0,1117.0,,1369.0,,,,,
2014-12-09 18:00:00+00:00,110.0,15631.0,1116.0,,1369.0,,,,,
2014-12-09 19:00:00+00:00,109.0,11612.0,1121.0,,1368.0,,,,,
2014-12-09 20:00:00+00:00,91.0,6431.0,1117.0,,1368.0,,,,,
2014-12-09 21:00:00+00:00,80.0,5024.0,1086.0,,1368.0,,,,,
2014-12-09 22:00:00+00:00,84.0,3844.0,1010.0,,1367.0,,,,,
2014-12-09 23:00:00+00:00,63.0,1515.0,742.0,,956.0,,,,,
2014-12-10 00:00:00+00:00,53.0,1255.0,643.0,,907.0,,,,,
2014-12-10 01:00:00+00:00,65.0,1284.0,640.0,,958.0,,,,,
2014-12-10 02:00:00+00:00,55.0,1266.0,639.0,,959.0,,,,,
2014-12-10 03:00:00+00:00,57.0,1282.0,563.0,,959.0,,,,,
2014-12-10 04:00:00+00:00,59.0,1566.0,706.0,,958.0,,,,,
2014-12-10 05:00:00+00:00,64.0,3568.0,645.0,,958.0,,,,,
2014-12-10 06:00:00+00:00,74.0,8533.0,735.0,,958.0,,,,,
2014-12-10 07:00:00+00:00,66.0,10623.0,736.0,,958.0,,,,,
2014-12-10 08:00:00+00:00,49.0,10812.0,782.0,,958.0,,,,,
2014-12-10 09:00:00+00:00,64.0,10839.0,782.0,,958.0,,,,,
2014-12-10 10:00:00+00:00,67.0,10667.0,781.0,,958.0,,,,,
2014-12-10 11:00:00+00:00,69.0,10372.0,782.0,,958.0,,,,,
2014-12-10 12:00:00+00:00,58.0,10613.0,784.0,,958.0,,,,,
2014-12-10 13:00:00+00:00,55.0,10663.0,784.0,,958.0,,,,,
2014-12-10 14:00:00+00:00,63.0,10306.0,784.0,,959.0,,,,,
2014-12-10 15:00:00+00:00,72.0,10636.0,784.0,,959.0,,,,,
2014-12-10 16:00:00+00:00,75.0,10821.0,782.0,,958.0,,,,,
2014-12-10 17:00:00+00:00,75.0,10683.0,786.0,,958.0,,,,,
2014-12-10 18:00:00+00:00,74.0,10559.0,786.0,,958.0,,,,,
2014-12-10 19:00:00+00:00,77.0,8506.0,777.0,,958.0,,,,,
2014-12-10 20:00:00+00:00,77.0,7393.0,785.0,,958.0,,,,,
2014-12-10 21:00:00+00:00,77.0,5459.0,787.0,,957.0,,,,,
2014-12-10 22:00:00+00:00,76.0,4604.0,784.0,,957.0,,,,,
2014-12-10 23:00:00+00:00,78.0,2829.0,893.0,,1095.0,,,,,
2014-12-11 00:00:00+00:00,74.0,2893.0,895.0,,1095.0,,,,,
2014-12-11 01:00:00+00:00,80.0,2649.0,893.0,,1095.0,,,,,
2014-12-11 02:00:00+00:00,86.0,2644.0,894.0,,1095.0,,,,,
2014-12-11 03:00:00+00:00,87.0,2431.0,894.0,,1095.0,,,,,
2014-12-11 04:00:00+00:00,84.0,3012.0,893.0,,1095.0,,,,,
2014-12-11 05:00:00+00:00,82.0,3879.0,892.0,,1095.0,,,,,
2014-12-11 06:00:00+00:00,89.0,7128.0,893.0,,1095.0,,,,,
2014-12-11 07:00:00+00:00,95.0,9929.0,894.0,,1094.0,,,,,
2014-12-11 08:00:00+00:00,93.0,10106.0,893.0,,1094.0,,,,,
2014-12-11 09:00:00+00:00,94.0,10142.0,895.0,,1095.0,,,,,
2014-12-11 10:00:00+00:00,92.0,10075.0,893.0,,1094.0,,,,,
