,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Waste,Wind Onshore
2018-01-01 00:00:00+00:00,,347.22,,973.25,12195.31,50.34,,,,731.07
2018-01-01 01:00:00+00:00,,347.05,,970.24,11289.84,49.91,,,,707.73
2018-01-01 02:00:00+00:00,,346.74,,970.61,10028.33,49.67,,,,680.36
2018-01-01 03:00:00+00:00,,346.94,,976.09,10036.25,49.55,,,,674.14
2018-01-01 04:00:00+00:00,,347.6,,976.44,10143.38,49.37,,,,641.33
2018-01-01 05:00:00+00:00,,347.04,,977.57,10623.61,49.3,,,,631.08
2018-01-01 06:00:00+00:00,,346.87,,969.78,11287.65,49.22,,,,623.56
2018-01-01 07:00:00+00:00,,348.42,,972.27,10873.98,48.95,,,,597.29
2018-01-01 08:00:00+00:00,,347.68,,991.01,11113.12,48.72,,,,529.42
2018-01-01 09:00:00+00:00,,350.45,,998.17,12063.47,48.58,,,,490.7
2018-01-01 10:00:00+00:00,,349.39,,1002.25,12598.38,48.59,,,,465.0
2018-01-01 11:00:00+00:00,,349.7,,1004.93,12857.35,48.62,,,,433.91
2018-01-01 12:00:00+00:00,,350.17,,1004.94,12844.08,48.69,,,,416.42
2018-01-01 13:00:00+00:00,,349.12,,1004.45,13106.37,48.8,,,,421.6
2018-01-01 14:00:00+00:00,,348.35,,1005.46,14094.01,48.93,,,,401.83
2018-01-01 15:00:00+00:00,,348.08,,1003.74,14914.91,49.01,,,,386.8
2018-01-01 16:00:00+00:00,,350.21,,1015.48,15691.32,48.91,,,,370.57
2018-01-01 17:00:00+00:00,,350.17,,1012.62,15458.61,48.76,,,,350.2
2018-01-01 18:00:00+00:00,,349.78,,1009.12,14631.24,48.65,,,,336.85
2018-01-01 19:00:00+00:00,,349.3,,1010.96,13870.62,48.45,,,,310.67
2018-01-01 20:00:00+00:00,,350.14,,1012.21,13357.99,48.41,,,,291.92
2018-01-01 21:00:00+00:00,,350.44,,1006.08,12117.34,48.29,,,,278.06
2018-01-01 22:00:00+00:00,,349.43,,1006.4,10883.84,48.28,,,,266.35
2018-01-01 23:00:00+00:00,,350.09,,993.61,9912.47,49.84,,,,340.86
2018-01-02 00:00:00+00:00,,352.03,,1002.28,9317.37,49.88,,,,299.32
2018-01-02 01:00:00+00:00,,352.11,,1010.96,9624.82,49.76,,,,285.24
2018-01-02 02:00:00+00:00,,352.55,,1012.1,9691.81,49.74,,,,305.22
2018-01-02 03:00:00+00:00,,352.19,,1005.55,10856.6,49.62,,,,294.79
2018-01-02 04:00:00+00:00,,351.24,,1003.28,12865.05,49.59,,,,297.05
2018-01-02 05:00:00+00:00,,353.1,,1027.93,15670.23,53.39,,,,287.27
2018-01-02 06:00:00+00:00,,352.67,,1067.47,20266.55,58.26,,,,241.95
2018-01-02 07:00:00+00:00,,352.83,,1090.5,21879.77,67.13,,,,212.28
2018-01-02 08:00:00+00:00,,347.03,,1112.96,22364.23,70.83,,,,170.03
2018-01-02 09:00:00+00:00,,352.43,,1117.13,23014.97,72.55,,,,162.41
2018-01-02 10:00:00+00:00,,354.04,,1119.13,23242.18,72.5,,,,177.88
2018-01-02 11:00:00+00:00,,355.86,,1118.37,23487.2,72.44,,,,120.17
2018-01-02 12:00:00+00:00,,373.54,,1117.07,23501.79,72.27,,,,115.66
2018-01-02 13:00:00+00:00,,372.52,,1116.38,23531.72,72.18,,,,100.41
2018-01-02 14:00:00+00:00,,369.11,,1115.58,23647.21,72.75,,,,141.11
2018-01-02 15:00:00+00:00,,377.31,,1117.11,23742.24,73.44,,,,95.42
2018-01-02 16:00:00+00:00,,374.37,,1120.89,23767.26,73.62,,,,113.97
2018-01-02 17:00:00+00:00,,376.48,,1115.15,23565.65,73.27,,,,128.9
2018-01-02 18:00:00+00:00,,373.36,,1109.49,23025.6,73.48,,,,158.78
2018-01-02 19:00:00+00:00,,372.68,,1106.85,21069.29,70.05,,,,176.37
2018-01-02 20:00:00+00:00,,374.59,,1106.08,18586.94,70.28,,,,205.61
2018-01-02 21:00:00+00:00,,371.41,,1100.78,16572.21,69.3,,,,247.72
2018-01-02 22:00:00+00:00,,370.85,,1103.94,15535.54,69.54,,,,284.48
2018-01-02 23:00:00+00:00,,370.98,,1084.25,14417.34,68.32,,,,344.09
2018-01-03 00:00:00+00:00,,365.96,,1084.76,12951.1,68.69,,,,385.16
