,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore,Hydro Pumped Storage Net
2014-12-08 00:00:00+00:00,302.0,383.0,1757.0,1033.0,294.0,28.0,0.0,,655.0,
2014-12-08 01:00:00+00:00,294.0,382.0,1755.0,608.0,281.0,26.0,0.0,,638.0,
2014-12-08 02:00:00+00:00,300.0,380.0,1738.0,538.0,239.0,26.0,0.0,,828.0,
2014-12-08 03:00:00+00:00,301.0,378.0,1707.0,512.0,216.0,26.0,0.0,,982.0,
2014-12-08 04:00:00+00:00,300.0,378.0,1707.0,514.0,233.0,25.0,0.0,,987.0,
2014-12-08 05:00:00+00:00,305.0,379.0,1750.0,491.0,354.0,26.0,0.0,,1104.0,
2014-12-08 06:00:00+00:00,304.0,378.0,1756.0,803.0,435.0,27.0,0.0,,1137.0,
2014-12-08 07:00:00+00:00,304.0,379.0,1722.0,804.0,384.0,28.0,8.0,,1299.0,
2014-12-08 08:00:00+00:00,307.0,381.0,1649.0,813.0,503.0,28.0,74.0,,1689.0,
2014-12-08 09:00:00+00:00,303.0,380.0,1589.0,945.0,604.0,28.0,153.0,,1734.0,
2014-12-08 10:00:00+00:00,307.0,378.0,1512.0,1099.0,739.0,28.0,201.0,,1438.0,
2014-12-08 11:00:00+00:00,314.0,376.0,1645.0,1063.0,721.0,28.0,228.0,,1048.0,
2014-12-08 12:00:00+00:00,314.0,406.0,1676.0,1029.0,748.0,30.0,285.0,,1031.0,
2014-12-08 13:00:00+00:00,318.0,408.0,1708.0,990.0,477.0,31.0,277.0,,1190.0,
2014-12-08 14:00:00+00:00,317.0,409.0,1717.0,862.0,448.0,31.0,249.0,,1309.0,
2014-12-08 15:00:00+00:00,316.0,411.0,1559.0,760.0,386.0,33.0,180.0,,1546.0,
2014-12-08 16:00:00+00:00,315.0,413.0,1473.0,856.0,366.0,28.0,52.0,,1736.0,
2014-12-08 17:00:00+00:00,318.0,412.0,1738.0,900.0,606.0,30.0,0.0,,1965.0,
2014-12-08 18:00:00+00:00,315.0,413.0,1757.0,959.0,862.0,29.0,0.0,,2185.0,
2014-12-08 19:00:00+00:00,324.0,414.0,1757.0,1241.0,713.0,36.0,0.0,,2263.0,
2014-12-08 20:00:00+00:00,325.0,415.0,1756.0,1358.0,376.0,37.0,0.0,,2062.0,
2014-12-08 21:00:00+00:00,327.0,415.0,1756.0,1479.0,704.0,37.0,0.0,,2035.0,
2014-12-08 22:00:00+00:00,329.0,423.0,1708.0,1056.0,330.0,38.0,0.0,,2151.0,
2014-12-08 23:00:00+00:00,325.0,424.0,1032.0,726.0,321.0,37.0,0.0,,2316.0,
2014-12-09 00:00:00+00:00,322.0,464.0,577.0,459.0,212.0,38.0,0.0,,2492.0,-795.0
2014-12-09 01:00:00+00:00,317.0,464.0,473.0,379.0,40.0,38.0,0.0,,2504.0,-859.0
2014-12-09 02:00:00+00:00,305.0,463.0,472.0,313.0,0.0,38.0,0.0,,2416.0,-955.0
2014-12-09 03:00:00+00:00,305.0,465.0,474.0,296.0,2.0,38.0,0.0,,2454.0,-981.0
2014-12-09 04:00:00+00:00,303.0,468.0,548.0,433.0,165.0,39.0,0.0,,2417.0,-954.0
2014-12-09 05:00:00+00:00,301.0,477.0,988.0,515.0,175.0,38.0,0.0,,2607.0,-708.0
2014-12-09 06:00:00+00:00,303.0,507.0,1320.0,847.0,302.0,34.0,0.0,,2662.0,-1.0
2014-12-09 07:00:00+00:00,300.0,659.0,1413.0,873.0,687.0,41.0,1.0,,2588.0,426.0
2014-12-09 08:00:00+00:00,300.0,685.0,1558.0,1121.0,714.0,42.0,52.0,,2330.0,551.0
2014-12-09 09:00:00+00:00,312.0,693.0,1626.0,1147.0,775.0,43.0,158.0,,1950.0,586.0
2014-12-09 10:00:00+00:00,309.0,697.0,1756.0,1222.0,723.0,41.0,228.0,,1505.0,511.0
2014-12-09 11:00:00+00:00,305.0,696.0,1757.0,1401.0,572.0,43.0,255.0,,1167.0,242.0
2014-12-09 12:00:00+00:00,313.0,691.0,1757.0,1423.0,412.0,44.0,244.0,,967.0,192.0
2014-12-09 13:00:00+00:00,312.0,693.0,1678.0,1372.0,420.0,43.0,231.0,,880.0,147.0
2014-12-09 14:00:00+00:00,313.0,723.0,1748.0,1807.0,447.0,43.0,193.0,,760.0,300.0
2014-12-09 15:00:00+00:00,316.0,879.0,1755.0,1724.0,423.0,44.0,127.0,,810.0,296.0
2014-12-09 16:00:00+00:00,317.0,1026.0,1755.0,1859.0,569.0,43.0,29.0,,820.0,435.0
2014-12-09 17:00:00+00:00,317.0,1232.0,1755.0,1847.0,815.0,43.0,0.0,,960.0,681.0
2014-12-09 18:00:00+00:00,313.0,1250.0,1757.0,1835.0,965.0,43.0,0.0,,1015.0,830.0
