,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2016-12-22 23:00:00+00:00,4.0,3358.0,2.0,258.0,421.0,306.0,82.0,
2016-12-23 00:00:00+00:00,4.0,3426.0,2.0,0.0,275.0,4.0,78.0,
2016-12-23 01:00:00+00:00,4.0,3461.0,2.0,0.0,273.0,0.0,77.0,
2016-12-23 02:00:00+00:00,4.0,3459.0,2.0,0.0,261.0,0.0,86.0,
2016-12-23 03:00:00+00:00,4.0,3214.0,2.0,0.0,323.0,0.0,116.0,
2016-12-23 04:00:00+00:00,4.0,3223.0,2.0,0.0,540.0,0.0,117.0,
2016-12-23 05:00:00+00:00,4.0,3452.0,2.0,0.0,626.0,238.0,116.0,
2016-12-23 06:00:00+00:00,4.0,3527.0,2.0,0.0,1008.0,323.0,118.0,
2016-12-23 07:00:00+00:00,4.0,3503.0,2.0,0.0,1224.0,329.0,113.0,
2016-12-23 08:00:00+00:00,4.0,3523.0,2.0,0.0,1202.0,328.0,112.0,
2016-12-23 09:00:00+00:00,4.0,3309.0,2.0,252.0,1054.0,324.0,113.0,
2016-12-23 10:00:00+00:00,4.0,3438.0,2.0,216.0,977.0,323.0,114.0,
2016-12-23 11:00:00+00:00,4.0,3448.0,2.0,199.0,1020.0,325.0,114.0,
2016-12-23 12:00:00+00:00,4.0,3359.0,2.0,280.0,948.0,324.0,113.0,
2016-12-23 13:00:00+00:00,4.0,3370.0,2.0,287.0,909.0,326.0,109.0,
2016-12-23 14:00:00+00:00,4.0,3394.0,2.0,243.0,1010.0,324.0,102.0,
2016-12-23 15:00:00+00:00,4.0,3467.0,2.0,249.0,1194.0,327.0,100.0,
2016-12-23 16:00:00+00:00,4.0,3466.0,2.0,291.0,1211.0,325.0,101.0,
2016-12-23 17:00:00+00:00,4.0,3468.0,2.0,294.0,1125.0,324.0,101.0,
2016-12-23 18:00:00+00:00,4.0,3368.0,2.0,294.0,1133.0,327.0,100.0,
2016-12-23 19:00:00+00:00,4.0,3396.0,2.0,294.0,1105.0,322.0,80.0,
2016-12-23 20:00:00+00:00,4.0,3398.0,2.0,294.0,770.0,324.0,84.0,
2016-12-23 21:00:00+00:00,4.0,3387.0,2.0,255.0,659.0,319.0,84.0,
2016-12-23 22:00:00+00:00,4.0,3382.0,2.0,10.0,461.0,284.0,82.0,
2016-12-23 23:00:00+00:00,4.0,3330.0,2.0,0.0,342.0,218.0,80.0,
2016-12-24 00:00:00+00:00,4.0,3309.0,2.0,0.0,301.0,11.0,80.0,
2016-12-24 01:00:00+00:00,4.0,3395.0,2.0,0.0,277.0,0.0,78.0,
2016-12-24 02:00:00+00:00,4.0,3219.0,2.0,0.0,277.0,0.0,79.0,
2016-12-24 03:00:00+00:00,4.0,3148.0,2.0,0.0,285.0,0.0,83.0,
2016-12-24 04:00:00+00:00,4.0,3097.0,2.0,0.0,217.0,0.0,117.0,
2016-12-24 05:00:00+00:00,4.0,3090.0,2.0,0.0,491.0,0.0,116.0,
2016-12-24 06:00:00+00:00,4.0,3215.0,2.0,0.0,538.0,0.0,115.0,
2016-12-24 07:00:00+00:00,4.0,3254.0,2.0,0.0,638.0,166.0,115.0,
2016-12-24 08:00:00+00:00,4.0,3259.0,2.0,0.0,747.0,250.0,113.0,
2016-12-24 09:00:00+00:00,4.0,3328.0,2.0,0.0,803.0,248.0,114.0,
2016-12-24 10:00:00+00:00,4.0,3351.0,2.0,0.0,920.0,252.0,113.0,
2016-12-24 11:00:00+00:00,4.0,3342.0,2.0,0.0,859.0,254.0,113.0,
2016-12-24 12:00:00+00:00,4.0,3321.0,2.0,0.0,817.0,249.0,113.0,
2016-12-24 13:00:00+00:00,4.0,3276.0,2.0,0.0,829.0,251.0,111.0,
2016-12-24 14:00:00+00:00,4.0,3338.0,2.0,22.0,920.0,249.0,101.0,
2016-12-24 15:00:00+00:00,4.0,3394.0,2.0,203.0,1015.0,309.0,103.0,
2016-12-24 16:00:00+00:00,4.0,3381.0,2.0,200.0,1091.0,331.0,101.0,
2016-12-24 17:00:00+00:00,4.0,3397.0,2.0,202.0,1028.0,328.0,102.0,
2016-12-24 18:00:00+00:00,4.0,3373.0,2.0,204.0,956.0,324.0,101.0,
2016-12-24 19:00:00+00:00,4.0,3384.0,2.0,11.0,905.0,321.0,95.0,
2016-12-24 20:00:00+00:00,4.0,3399.0,2.0,0.0,879.0,247.0,76.0,
2016-12-24 21:00:00+00:00,4.0,3340.0,2.0,0.0,459.0,233.0,77.0,
2016-12-24 22:00:00+00:00,4.0,3268.0,2.0,0.0,436.0,87.0,85.0,
2016-12-24 23:00:00+00:00,,3119.0,0.0,0.0,477.0,55.0,66.0,
2016-12-25 00:00:00+00:00,,3063.0,0.0,0.0,425.0,0.0,66.0,
2016-12-25 01:00:00+00:00,,3042.0,0.0,0.0,415.0,0.0,62.0,
2016-12-25 02:00:00+00:00,,3024.0,0.0,0.0,622.0,0.0,62.0,
2016-12-25 03:00:00+00:00,,3022.0,0.0,0.0,586.0,0.0,68.0,
2016-12-25 04:00:00+00:00,,3064.0,0.0,0.0,493.0,0.0,99.0,
2016-12-25 05:00:00+00:00,,3082.0,0.0,0.0,513.0,0.0,100.0,
2016-12-25 06:00:00+00:00,,3056.0,0.0,0.0,524.0,16.0,99.0,
2016-12-25 07:00:00+00:00,,3074.0,0.0,0.0,537.0,154.0,99.0,
2016-12-25 08:00:00+00:00,,3096.0,0.0,0.0,638.0,154.0,97.0,
2016-12-25 09:00:00+00:00,,3085.0,0.0,0.0,650.0,177.0,98.0,
2016-12-25 10:00:00+00:00,,3072.0,0.0,0.0,642.0,243.0,95.0,
2016-12-25 11:00:00+00:00,,3097.0,0.0,0.0,603.0,245.0,88.0,
2016-12-25 12:00:00+00:00,,3030.0,0.0,0.0,567.0,246.0,89.0,
2016-12-25 13:00:00+00:00,,3008.0,0.0,0.0,527.0,243.0,89.0,
2016-12-25 14:00:00+00:00,,3021.0,0.0,0.0,369.0,249.0,85.0,
2016-12-25 15:00:00+00:00,,3025.0,0.0,0.0,645.0,245.0,85.0,
2016-12-25 16:00:00+00:00,,2966.0,0.0,0.0,997.0,243.0,85.0,
2016-12-25 17:00:00+00:00,,2927.0,0.0,0.0,975.0,252.0,85.0,
2016-12-25 18:00:00+00:00,,2915.0,0.0,0.0,1044.0,173.0,85.0,
2016-12-25 19:00:00+00:00,,2909.0,0.0,0.0,928.0,148.0,82.0,
2016-12-25 20:00:00+00:00,,2881.0,0.0,0.0,979.0,126.0,67.0,
2016-12-25 21:00:00+00:00,,2774.0,0.0,0.0,1024.0,96.0,63.0,
2016-12-25 22:00:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,
2016-12-25 23:00:00+00:00,4.0,2869.0,2.0,0.0,602.0,87.0,82.0,
2016-12-26 00:00:00+00:00,4.0,2840.0,2.0,0.0,364.0,51.0,83.0,
2016-12-26 01:00:00+00:00,4.0,2860.0,2.0,0.0,315.0,0.0,82.0,
2016-12-26 02:00:00+00:00,4.0,2795.0,2.0,0.0,403.0,0.0,79.0,
2016-12-26 03:00:00+00:00,4.0,2825.0,2.0,0.0,361.0,0.0,88.0,
2016-12-26 04:00:00+00:00,4.0,2790.0,2.0,0.0,359.0,0.0,106.0,
2016-12-26 05:00:00+00:00,4.0,2789.0,2.0,0.0,486.0,75.0,111.0,
2016-12-26 06:00:00+00:00,4.0,2896.0,2.0,0.0,657.0,93.0,106.0,
2016-12-26 07:00:00+00:00,4.0,2944.0,2.0,0.0,780.0,139.0,95.0,
2016-12-26 08:00:00+00:00,4.0,2895.0,2.0,0.0,853.0,139.0,78.0,
2016-12-26 09:00:00+00:00,4.0,2854.0,2.0,0.0,783.0,139.0,77.0,
2016-12-26 10:00:00+00:00,4.0,2884.0,2.0,0.0,747.0,209.0,78.0,
2016-12-26 11:00:00+00:00,4.0,2858.0,2.0,0.0,616.0,245.0,76.0,
2016-12-26 12:00:00+00:00,4.0,2793.0,2.0,0.0,634.0,245.0,77.0,
2016-12-26 13:00:00+00:00,4.0,2859.0,2.0,0.0,590.0,244.0,77.0,
2016-12-26 14:00:00+00:00,4.0,2880.0,2.0,0.0,689.0,299.0,44.0,
2016-12-26 15:00:00+00:00,4.0,2896.0,2.0,5.0,956.0,323.0,46.0,
2016-12-26 16:00:00+00:00,4.0,2887.0,2.0,201.0,821.0,323.0,95.0,
2016-12-26 17:00:00+00:00,4.0,2937.0,2.0,200.0,804.0,327.0,53.0,
2016-12-26 18:00:00+00:00,4.0,2959.0,2.0,64.0,838.0,327.0,59.0,
2016-12-26 19:00:00+00:00,4.0,2933.0,2.0,0.0,581.0,275.0,83.0,
2016-12-26 20:00:00+00:00,4.0,2943.0,2.0,0.0,515.0,223.0,83.0,
2016-12-26 21:00:00+00:00,4.0,2951.0,2.0,0.0,404.0,218.0,83.0,
2016-12-26 22:00:00+00:00,4.0,2962.0,2.0,0.0,315.0,166.0,82.0,
2016-12-26 23:00:00+00:00,4.0,3044.0,2.0,0.0,274.0,83.0,83.0,
2016-12-27 00:00:00+00:00,4.0,3115.0,2.0,0.0,250.0,0.0,83.0,
2016-12-27 01:00:00+00:00,4.0,2934.0,2.0,0.0,434.0,0.0,82.0,
2016-12-27 02:00:00+00:00,4.0,2917.0,2.0,0.0,500.0,0.0,85.0,
2016-12-27 03:00:00+00:00,4.0,2962.0,2.0,0.0,466.0,0.0,89.0,
2016-12-27 04:00:00+00:00,4.0,3005.0,2.0,0.0,388.0,0.0,106.0,
2016-12-27 05:00:00+00:00,4.0,3007.0,2.0,0.0,379.0,89.0,111.0,
2016-12-27 06:00:00+00:00,4.0,3091.0,2.0,0.0,354.0,242.0,115.0,
2016-12-27 07:00:00+00:00,4.0,3182.0,2.0,0.0,596.0,247.0,113.0,
2016-12-27 08:00:00+00:00,4.0,3199.0,2.0,0.0,626.0,245.0,98.0,
2016-12-27 09:00:00+00:00,4.0,3116.0,2.0,0.0,646.0,245.0,81.0,
2016-12-27 10:00:00+00:00,4.0,3085.0,2.0,0.0,656.0,226.0,75.0,
2016-12-27 11:00:00+00:00,4.0,3069.0,2.0,0.0,667.0,180.0,76.0,
2016-12-27 12:00:00+00:00,4.0,3170.0,2.0,0.0,540.0,154.0,76.0,
2016-12-27 13:00:00+00:00,4.0,3226.0,2.0,0.0,440.0,113.0,76.0,
2016-12-27 14:00:00+00:00,4.0,3284.0,2.0,0.0,472.0,116.0,79.0,
2016-12-27 15:00:00+00:00,4.0,3349.0,2.0,0.0,767.0,113.0,87.0,
2016-12-27 16:00:00+00:00,4.0,3353.0,2.0,0.0,958.0,113.0,93.0,
2016-12-27 17:00:00+00:00,4.0,3338.0,2.0,0.0,910.0,145.0,91.0,
2016-12-27 18:00:00+00:00,4.0,3168.0,2.0,0.0,1035.0,142.0,82.0,
2016-12-27 19:00:00+00:00,4.0,3181.0,2.0,0.0,683.0,158.0,81.0,
2016-12-27 20:00:00+00:00,4.0,3130.0,2.0,0.0,593.0,113.0,83.0,
