,Hydro Water Reservoir,Other,Solar,Wind Onshore
2014-12-08 23:00:00+00:00,,,,62.0
2014-12-09 00:00:00+00:00,,,,46.0
2014-12-09 01:00:00+00:00,,,,41.0
2014-12-09 02:00:00+00:00,,,,41.0
2014-12-09 03:00:00+00:00,,,,53.0
2014-12-09 04:00:00+00:00,,,,56.0
2014-12-09 05:00:00+00:00,,,,63.0
2014-12-09 06:00:00+00:00,,,,79.0
2014-12-09 07:00:00+00:00,,,,90.0
2014-12-09 08:00:00+00:00,,,,109.0
2014-12-09 09:00:00+00:00,,,,107.0
2014-12-09 10:00:00+00:00,,,,120.0
2014-12-09 11:00:00+00:00,,,,123.0
2014-12-09 12:00:00+00:00,,,,151.0
2014-12-09 13:00:00+00:00,,,,108.0
2014-12-09 14:00:00+00:00,,,,132.0
2014-12-09 15:00:00+00:00,,,,103.0
2014-12-09 16:00:00+00:00,,,,58.0
2014-12-09 17:00:00+00:00,,,,83.0
2014-12-09 18:00:00+00:00,,,,87.0
2014-12-09 19:00:00+00:00,,,,105.0
2014-12-09 20:00:00+00:00,,,,135.0
2014-12-09 21:00:00+00:00,,,,184.0
2014-12-09 22:00:00+00:00,,,,242.0
2014-12-09 23:00:00+00:00,,,,291.0
2014-12-10 00:00:00+00:00,,,,320.0
2014-12-10 01:00:00+00:00,,,,337.0
2014-12-10 02:00:00+00:00,,,,348.0
2014-12-10 03:00:00+00:00,,,,362.0
2014-12-10 04:00:00+00:00,,,,381.0
2014-12-10 05:00:00+00:00,,,,380.0
2014-12-10 06:00:00+00:00,,,,378.0
2014-12-10 07:00:00+00:00,,,,382.0
2014-12-10 08:00:00+00:00,,,,379.0
2014-12-10 09:00:00+00:00,,,,384.0
2014-12-10 10:00:00+00:00,,,,374.0
2014-12-10 11:00:00+00:00,,,,369.0
2014-12-10 12:00:00+00:00,,,,364.0
2014-12-10 13:00:00+00:00,,,,358.0
2014-12-10 14:00:00+00:00,,,,350.0
2014-12-10 15:00:00+00:00,,,,342.0
2014-12-10 16:00:00+00:00,,,,316.0
2014-12-10 17:00:00+00:00,,,,302.0
2014-12-10 18:00:00+00:00,,,,280.0
2014-12-10 19:00:00+00:00,,,,271.0
2014-12-10 20:00:00+00:00,,,,256.0
2014-12-10 21:00:00+00:00,,,,236.0
2014-12-10 22:00:00+00:00,,,,225.0
2014-12-10 23:00:00+00:00,,,,191.0
2014-12-11 00:00:00+00:00,,,,181.0
2014-12-11 01:00:00+00:00,,,,174.0
2014-12-11 02:00:00+00:00,,,,174.0
2014-12-11 03:00:00+00:00,,,,178.0
2014-12-11 04:00:00+00:00,,,,182.0
2014-12-11 05:00:00+00:00,,,,191.0
2014-12-11 06:00:00+00:00,,,,208.0
2014-12-11 07:00:00+00:00,,,,218.0
2014-12-11 08:00:00+00:00,,,,227.0
2014-12-11 09:00:00+00:00,,,,230.0
2014-12-11 10:00:00+00:00,,,,212.0
2014-12-11 11:00:00+00:00,,,,226.0
2014-12-11 12:00:00+00:00,,,,227.0
2014-12-11 13:00:00+00:00,,,,220.0
2014-12-11 14:00:00+00:00,,,,239.0
2014-12-11 15:00:00+00:00,,,,241.0
2014-12-11 16:00:00+00:00,,,,250.0
2014-12-11 17:00:00+00:00,,,,251.0
2014-12-11 18:00:00+00:00,,,,241.0
2014-12-11 19:00:00+00:00,,,,233.0
2014-12-11 20:00:00+00:00,,,,231.0
2014-12-11 21:00:00+00:00,,,,219.0
2014-12-11 22:00:00+00:00,,,,209.0
2014-12-11 23:00:00+00:00,,,,197.0
2014-12-12 00:00:00+00:00,,,,183.0
2014-12-12 01:00:00+00:00,,,,174.0
2014-12-12 02:00:00+00:00,,,,181.0
2014-12-12 03:00:00+00:00,,,,157.0
2014-12-12 04:00:00+00:00,,,,153.0
2014-12-12 05:00:00+00:00,,,,141.0
2014-12-12 06:00:00+00:00,,,,134.0
2014-12-12 07:00:00+00:00,,,,140.0
2014-12-12 08:00:00+00:00,,,,128.0
2014-12-12 09:00:00+00:00,,,,124.0
2014-12-12 10:00:00+00:00,,,,115.0
2014-12-12 11:00:00+00:00,,,,99.0
2014-12-12 12:00:00+00:00,,,,85.0
2014-12-12 13:00:00+00:00,,,,80.0
2014-12-12 14:00:00+00:00,,,,84.0
2014-12-12 15:00:00+00:00,,,,76.0
2014-12-12 16:00:00+00:00,,,,74.0
2014-12-12 17:00:00+00:00,,,,74.0
2014-12-12 18:00:00+00:00,,,,73.0
2014-12-12 19:00:00+00:00,,,,67.0
2014-12-12 20:00:00+00:00,,,,68.0
2014-12-12 21:00:00+00:00,,,,61.0
2014-12-12 22:00:00+00:00,,,,79.0
2014-12-12 23:00:00+00:00,,,,62.0
2014-12-13 00:00:00+00:00,,,,56.0
2014-12-13 01:00:00+00:00,,,,52.0
2014-12-13 02:00:00+00:00,,,,50.0
2014-12-13 03:00:00+00:00,,,,46.0
2014-12-13 04:00:00+00:00,,,,38.0
2014-12-13 05:00:00+00:00,,,,34.0
2014-12-13 06:00:00+00:00,,,,26.0
2014-12-13 07:00:00+00:00,,,,23.0
2014-12-13 08:00:00+00:00,,,,17.0
