,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore
2018-01-01 00:00:00+00:00,,4407.0,,8542.0,1135.0,,2199.0
2018-01-01 01:00:00+00:00,,4291.0,,8540.0,1142.0,,2253.0
2018-01-01 02:00:00+00:00,,4259.0,,8541.0,1056.0,,2224.0
2018-01-01 03:00:00+00:00,,4242.0,,8542.0,1053.0,,2154.0
2018-01-01 04:00:00+00:00,,4376.0,,8540.0,1053.0,,2183.0
2018-01-01 05:00:00+00:00,,4638.0,,8541.0,1060.0,,2236.0
2018-01-01 06:00:00+00:00,,5051.0,,8539.0,1064.0,,2309.0
2018-01-01 07:00:00+00:00,,5454.0,,8542.0,1070.0,,2378.0
2018-01-01 08:00:00+00:00,,5895.0,,8539.0,1101.0,,2462.0
2018-01-01 09:00:00+00:00,,6725.0,,8540.0,1111.0,,2504.0
2018-01-01 10:00:00+00:00,,7081.0,,8539.0,1122.0,,2449.0
2018-01-01 11:00:00+00:00,,7340.0,,8537.0,1130.0,,2479.0
2018-01-01 12:00:00+00:00,,7461.0,,8538.0,1122.0,,2435.0
2018-01-01 13:00:00+00:00,,7703.0,,8538.0,1132.0,,2373.0
2018-01-01 14:00:00+00:00,,8112.0,,8538.0,1129.0,,2439.0
2018-01-01 15:00:00+00:00,,8496.0,,8538.0,1135.0,,2436.0
2018-01-01 16:00:00+00:00,,8655.0,,8535.0,1141.0,,2482.0
2018-01-01 17:00:00+00:00,,8563.0,,8535.0,1141.0,,2512.0
2018-01-01 18:00:00+00:00,,8517.0,,8535.0,1137.0,,2509.0
2018-01-01 19:00:00+00:00,,8193.0,,8536.0,1152.0,,2454.0
2018-01-01 20:00:00+00:00,,8158.0,,8538.0,1116.0,,2416.0
2018-01-01 21:00:00+00:00,,7753.0,,8536.0,1111.0,,2362.0
2018-01-01 22:00:00+00:00,,6679.0,,8537.0,1109.0,,2277.0
2018-01-01 23:00:00+00:00,,5262.0,,8537.0,1086.0,,2077.0
2018-01-02 00:00:00+00:00,,4989.0,,8537.0,1090.0,,2001.0
2018-01-02 01:00:00+00:00,,4908.0,,8536.0,1092.0,,1951.0
2018-01-02 02:00:00+00:00,,4859.0,,8261.0,1092.0,,1903.0
2018-01-02 03:00:00+00:00,,5354.0,,7338.0,1095.0,,1861.0
2018-01-02 04:00:00+00:00,,6135.0,,7337.0,1108.0,,1815.0
2018-01-02 05:00:00+00:00,,8340.0,,7336.0,1122.0,,1766.0
2018-01-02 06:00:00+00:00,,10743.0,,7332.0,1202.0,,1710.0
2018-01-02 07:00:00+00:00,,11711.0,,7329.0,1216.0,,1638.0
2018-01-02 08:00:00+00:00,,12097.0,,7330.0,1193.0,,1527.0
2018-01-02 09:00:00+00:00,,12253.0,,7328.0,1219.0,,1443.0
2018-01-02 10:00:00+00:00,,12290.0,,7320.0,1223.0,,1359.0
2018-01-02 11:00:00+00:00,,12240.0,,7319.0,1208.0,,1285.0
2018-01-02 12:00:00+00:00,,12217.0,,7318.0,1203.0,,1266.0
2018-01-02 13:00:00+00:00,,12223.0,,7319.0,1192.0,,1293.0
2018-01-02 14:00:00+00:00,,12352.0,,7318.0,1132.0,,1338.0
2018-01-02 15:00:00+00:00,,12347.0,,7317.0,1112.0,,1374.0
